Orthogroup	Acinetobacter_baumannii	Mycobacterium_leprae	Mycobacterium_tuberculosis	Neisseria_gonorrhoeae	Pseudomonas_aeruginosa	Salmonella_enterica
OG0000121	g267.t1, g64.t1	g667.t1	g2188.t1, g2460.t1		g1606.t1, g2288.t1, g3483.t1	g678.t1
OG0000122	g68.t1	g786.t1, g789.t1	g2661.t1, g2667.t1		g3694.t1, g586.t1	g2714.t1, g2988.t1
OG0000123	g136.t1, g435.t1	g1183.t1	g1164.t1		g3152.t1, g4907.t1, g5081.t1, g5500.t1	g2995.t1
OG0000124	g178.t1				g365.t1, g4056.t1, g4601.t1	g1643.t1, g3986.t1, g405.t1, g406.t1, g612.t1
OG0000125	g194.t1	g1347.t1	g2952.t1		g2069.t1, g4262.t1, g4786.t1	g112.t1, g3553.t1, g3648.t1
OG0000126	g340.t1, g451.t1	g410.t1	g1405.t1, g1919.t1		g4125.t1, g4132.t1	g1598.t1, g2972.t1
OG0000127	g363.t1	g1612.t1	g1849.t1, g255.t1, g678.t1		g1804.t1, g5451.t1	g2635.t1, g3239.t1
OG0000128	g396.t1	g1487.t1, g1609.t1	g1852.t1, g684.t1		g2421.t1, g4862.t1	g1512.t1, g3453.t1
OG0000129	g409.t1	g890.t1	g1298.t1		g1119.t1, g1720.t1	g1315.t1, g1842.t1, g2687.t1, g3621.t1
OG0000130		g137.t1	g1926.t1, g1927.t1, g2047.t1, g2050.t1, g2506.t1, g2748.t1, g609.t1, g951.t1			
OG0000131		g1141.t1, g167.t1	g1492.t1, g534.t1		g3624.t1, g4912.t1	g2143.t1, g3911.t1, g518.t1
OG0000132		g295.t1	g3331.t1, g3356.t1		g2101.t1, g570.t1	g1229.t1, g2619.t1, g3608.t1, g3754.t1
OG0000133		g384.t1	g2495.t1		g1364.t1, g1844.t1	g229.t1, g2389.t1, g2895.t1, g3999.t1, g652.t1
OG0000134		g1733.t1, g559.t1	g2260.t1, g3069.t1, g3241.t1, g805.t1		g1310.t1, g5050.t1	g2363.t1
OG0000135		g1760.t1, g853.t1	g1250.t1, g747.t1		g1324.t1, g3359.t1, g662.t1	g1124.t1, g2944.t1
OG0000136		g1149.t1	g2040.t1, g3183.t1, g723.t1		g1799.t1, g2954.t1, g3351.t1, g774.t1	g2463.t1
OG0000137		g1608.t1	g125.t1, g126.t1, g2438.t1		g2192.t1, g2235.t1	g1834.t1, g3423.t1, g370.t1
OG0000138		g1808.t1, g1809.t1			g2030.t1, g2594.t1, g3640.t1, g4824.t1, g901.t1	g340.t1, g3978.t1
OG0000139		g1817.t1, g1859.t1	g102.t1, g1659.t1		g278.t1, g4794.t1, g534.t1, g658.t1	g3232.t1
OG0000140			g133.t1, g1813.t1, g1917.t1, g2265.t1, g2542.t1		g1642.t1, g2121.t1, g2992.t1	g310.t1
OG0000141			g2002.t1, g3083.t1, g835.t1		g2012.t1, g3953.t1, g610.t1	g1649.t1, g2314.t1, g3546.t1
OG0000142			g1506.t1		g1025.t1, g1178.t1, g1404.t1, g1406.t1, g5095.t1, g713.t1	g1976.t1, g3380.t1
OG0000143			g2627.t1		g1914.t1, g2310.t1, g3434.t1, g373.t1, g4104.t1, g490.t1, g4957.t1	g3990.t1
OG0000144			g2662.t1		g1586.t1, g3184.t1, g3569.t1, g5179.t1, g5405.t1, g5441.t1, g5494.t1	g1705.t1
OG0000145					g1450.t1, g160.t1, g161.t1, g2558.t1, g2566.t1, g3749.t1, g4288.t1, g4458.t1	g1987.t1
OG0000146					g179.t1	g1518.t1, g1546.t1, g1798.t1, g2916.t1, g2930.t1, g2992.t1, g2993.t1, g3338.t1
OG0000147					g630.t1	g2088.t1, g2094.t1, g2415.t1, g2517.t1, g2519.t1, g3906.t1, g866.t1, g980.t1
OG0000148						g1578.t1, g2392.t1, g2653.t1, g336.t1, g3530.t1, g3734.t1, g3887.t1, g529.t1, g610.t1
OG0000149	g24.t1	g1701.t1	g3515.t1, g847.t1		g3871.t1, g4812.t1, g5070.t1	g561.t1
OG0000150	g25.t1	g423.t1	g1425.t1		g3061.t1, g3257.t1, g559.t1	g1197.t1, g2854.t1
OG0000151	g41.t1	g523.t1	g2860.t1, g3289.t1		g4077.t1	g1926.t1, g595.t1, g797.t1
OG0000152	g307.t1, g95.t1	g1422.t1	g2232.t1, g3036.t1, g749.t1		g3701.t1	g1519.t1
OG0000153	g118.t1	g1484.t1	g1267.t1, g687.t1		g2160.t1, g3782.t1, g4179.t1, g5474.t1	
OG0000154	g174.t1, g258.t1	g977.t1	g2442.t1		g3079.t1, g4681.t1	g4116.t1, g991.t1
OG0000155	g179.t1	g1839.t1	g3418.t1, g3484.t1		g1232.t1, g2044.t1, g3865.t1	g110.t1
OG0000156	g266.t1, g364.t1	g1545.t1	g1085.t1		g4555.t1, g866.t1	g1364.t1, g4024.t1
OG0000157	g271.t1	g880.t1	g1288.t1		g1700.t1, g4753.t1	g1658.t1, g2227.t1, g2465.t1
OG0000158	g284.t1				g1246.t1, g2469.t1, g3368.t1, g3426.t1, g3968.t1	g1339.t1, g3139.t1
OG0000159	g348.t1	g1147.t1	g2029.t1, g2718.t1		g1181.t1, g1617.t1, g2724.t1	g3702.t1
OG0000160	g445.t1, g512.t1	g742.t1	g1112.t1		g1793.t1, g3633.t1, g3832.t1	g1253.t1
OG0000161	g467.t1	g1382.t1, g1653.t1	g3001.t1, g565.t1		g1171.t1	g2124.t1, g2606.t1
OG0000162		g66.t1, g67.t1, g695.t1	g2154.t1		g2575.t1, g3332.t1, g5.t1	g2795.t1
OG0000163		g265.t1, g657.t1	g1611.t1, g2741.t1, g3473.t1, g3490.t1, g903.t1		g1028.t1	
OG0000164		g313.t1, g422.t1	g115.t1, g1423.t1, g193.t1, g2483.t1, g478.t1		g740.t1	
OG0000165		g401.t1	g1393.t1, g1395.t1, g517.t1		g2068.t1, g3180.t1, g4463.t1	g249.t1
OG0000166		g458.t1	g2376.t1, g2590.t1		g1882.t1, g2199.t1, g2234.t1, g254.t1, g3296.t1	
OG0000167		g480.t1, g855.t1	g1251.t1, g2332.t1, g3330.t1		g206.t1, g4424.t1, g712.t1	
OG0000168		g1414.t1, g546.t1	g2222.t1, g3261.t1		g3085.t1, g3656.t1, g5086.t1	g3289.t1
OG0000169		g1473.t1, g611.t1	g3258.t1, g655.t1, g699.t1		g186.t1	g2901.t1, g34.t1
OG0000170		g627.t1	g3008.t1		g1520.t1, g170.t1, g1892.t1, g247.t1, g443.t1	g1043.t1
OG0000171		g871.t1	g1271.t1		g4588.t1	g1166.t1, g1580.t1, g1632.t1, g3391.t1, g785.t1
OG0000172		g1122.t1, g1408.t1	g2015.t1, g2286.t1, g2784.t1		g2379.t1, g3251.t1	g3318.t1
OG0000173		g1400.t1	g67.t1		g2483.t1, g5481.t1	g1709.t1, g2054.t1, g2760.t1, g3016.t1
OG0000174		g1401.t1	g3015.t1		g1911.t1, g3330.t1, g5085.t1, g798.t1	g1542.t1, g4035.t1
OG0000175		g1855.t1	g1049.t1, g2528.t1, g3199.t1		g1660.t1, g3304.t1, g3405.t1	g1640.t1
OG0000176			g1113.t1, g1134.t1, g1573.t1, g1685.t1, g1922.t1, g3416.t1, g93.t1, g94.t1			
OG0000177			g135.t1, g1384.t1, g1651.t1, g3009.t1, g325.t1, g563.t1, g752.t1		g3751.t1	
OG0000178			g782.t1		g1159.t1, g2338.t1, g2861.t1, g3312.t1, g3447.t1	g3363.t1, g398.t1
OG0000179			g1138.t1		g1675.t1, g2066.t1, g2135.t1, g2955.t1, g4214.t1, g5385.t1	g1493.t1
OG0000180			g2206.t1		g3033.t1, g3234.t1, g4018.t1, g618.t1, g70.t1, g822.t1	g3246.t1
OG0000181			g2347.t1, g2348.t1		g2438.t1, g2439.t1, g2440.t1, g2463.t1, g3393.t1	g546.t1
OG0000182			g2673.t1		g1386.t1, g1934.t1, g2827.t1, g3650.t1, g4297.t1, g4806.t1	g1477.t1
OG0000183					g187.t1, g2333.t1, g2347.t1, g2369.t1, g3511.t1, g3516.t1, g3584.t1, g4014.t1	
OG0000184					g188.t1, g2334.t1, g2346.t1, g2367.t1, g3512.t1, g3517.t1, g3582.t1, g4013.t1	
OG0000185					g208.t1, g307.t1, g328.t1, g3316.t1, g3681.t1, g616.t1	g1142.t1, g813.t1
OG0000186					g209.t1, g306.t1, g329.t1, g3680.t1, g615.t1	g1143.t1, g395.t1, g812.t1
OG0000187					g1031.t1, g2039.t1, g239.t1, g2509.t1, g3537.t1, g4994.t1, g4997.t1	g2037.t1
OG0000188					g2108.t1, g296.t1, g3432.t1, g3670.t1, g3870.t1, g4894.t1	g1756.t1, g288.t1
OG0000189					g1954.t1, g2731.t1, g3863.t1, g793.t1, g944.t1	g2057.t1, g2578.t1, g543.t1
OG0000190					g1158.t1, g1280.t1, g2150.t1, g2534.t1, g2904.t1, g4073.t1, g828.t1	g2173.t1
OG0000191					g1163.t1, g2024.t1, g5285.t1	g1916.t1, g2297.t1, g2762.t1, g2941.t1, g3774.t1
OG0000192					g1640.t1, g2753.t1, g2987.t1, g3737.t1, g4592.t1, g5443.t1	g334.t1, g3695.t1
OG0000193						g171.t1, g192.t1, g21.t1, g26.t1, g2814.t1, g282.t1, g3400.t1, g510.t1
OG0000194	g2.t1	g249.t1, g286.t1	g3373.t1, g435.t1		g4470.t1	g4028.t1
OG0000195	g5.t1	g873.t1	g1281.t1		g4604.t1, g5379.t1	g2203.t1, g2799.t1
OG0000196	g21.t1	g463.t1	g2370.t1		g1509.t1, g286.t1	g2280.t1, g3793.t1
OG0000197	g236.t1, g354.t1, g38.t1, g59.t1				g1903.t1	g2506.t1, g3964.t1
OG0000198	g46.t1	g1782.t1	g548.t1		g2546.t1, g4119.t1	g1568.t1, g2150.t1
OG0000199	g66.t1	g530.t1	g1542.t1, g3278.t1		g1603.t1	g4040.t1, g675.t1
OG0000200	g108.t1, g282.t1	g1700.t1	g848.t1		g1759.t1, g3073.t1	g3717.t1
OG0000201	g127.t1	g229.t1	g360.t1		g563.t1	g2852.t1, g3028.t1, g3537.t1
OG0000202	g164.t1, g303.t1		g347.t1		g3883.t1, g4852.t1	g11.t1, g2369.t1
OG0000203	g167.t1	g1164.t1	g2413.t1		g3035.t1, g4562.t1	g1104.t1, g3143.t1
OG0000204	g197.t1, g400.t1	g1449.t1	g1466.t1		g1579.t1, g806.t1	g1599.t1
OG0000205	g213.t1	g800.t1	g2640.t1, g3333.t1		g4122.t1	g2183.t1, g390.t1
OG0000206	g214.t1	g791.t1, g987.t1	g1588.t1, g2659.t1		g3891.t1	g2376.t1
OG0000207	g244.t1	g1568.t1	g1895.t1, g1896.t1, g462.t1		g2675.t1	g3893.t1
OG0000208	g254.t1	g47.t1			g447.t1, g5130.t1	g2044.t1, g2313.t1, g3105.t1
OG0000209	g273.t1	g1489.t1	g675.t1		g4347.t1, g4359.t1	g3211.t1, g3863.t1
OG0000210	g298.t1	g5.t1	g5.t1		g4.t1, g5061.t1	g2958.t1, g3593.t1
OG0000211	g313.t1				g1217.t1, g2458.t1, g2741.t1, g3920.t1	g3518.t1, g886.t1
OG0000212	g331.t1	g1329.t1	g2930.t1		g4283.t1, g4495.t1	g126.t1, g349.t1
OG0000213	g349.t1	g1321.t1	g2920.t1		g4249.t1	g1563.t1, g245.t1, g2942.t1
OG0000214	g351.t1	g472.t1	g2341.t1, g349.t1		g4851.t1	g1034.t1, g12.t1
OG0000215	g365.t1	g1490.t1	g674.t1	g3.t1	g2105.t1, g4348.t1	g3212.t1
OG0000216	g387.t1	g435.t1	g1438.t1		g2855.t1	g2308.t1, g3839.t1, g6.t1
OG0000217	g472.t1	g131.t1, g320.t1	g2467.t1, g961.t1		g2047.t1, g2946.t1	
OG0000218	g479.t1		g2304.t1		g2140.t1, g3217.t1, g3889.t1	g1975.t1, g3458.t1
OG0000219	g493.t1	g1550.t1	g1080.t1, g68.t1		g2484.t1, g4688.t1	g2385.t1
OG0000220	g522.t1	g8.t1	g9.t1		g1817.t1, g3290.t1	g3237.t1, g501.t1
OG0000221		g1225.t1, g40.t1, g41.t1	g1763.t1, g1764.t1, g284.t1, g3399.t1			
OG0000222		g1795.t1, g51.t1	g1383.t1, g3033.t1, g560.t1, g880.t1		g1223.t1	
OG0000223		g59.t1	g2247.t1, g316.t1		g2392.t1, g3050.t1, g4884.t1	g3315.t1
OG0000224		g101.t1, g983.t1	g1584.t1		g2569.t1, g3227.t1, g4532.t1	g1937.t1
OG0000225		g107.t1, g1493.t1	g1514.t1, g2586.t1, g2901.t1		g510.t1	g732.t1
OG0000226		g144.t1	g854.t1, g971.t1		g3089.t1, g3992.t1	g7.t1, g738.t1
OG0000227		g149.t1, g244.t1	g433.t1, g981.t1		g3088.t1, g3991.t1	g781.t1
OG0000228		g245.t1, g247.t1	g2236.t1, g302.t1, g434.t1, g66.t1		g5126.t1	
OG0000229		g266.t1	g1349.t1, g3022.t1, g3044.t1, g3144.t1, g3470.t1		g1201.t1	
OG0000230		g270.t1	g147.t1, g3450.t1, g3498.t1		g1036.t1, g3495.t1	g2629.t1
OG0000231		g325.t1	g2463.t1, g3025.t1		g897.t1	g2899.t1, g58.t1, g580.t1
OG0000232		g375.t1	g2516.t1		g248.t1, g25.t1	g1263.t1, g3168.t1, g3615.t1
OG0000233		g381.t1	g2059.t1, g2499.t1		g4583.t1, g5324.t1	g2842.t1, g3719.t1
OG0000234		g434.t1, g734.t1, g735.t1	g1106.t1, g1437.t1		g3245.t1	g1765.t1
OG0000235		g509.t1	g1259.t1, g1279.t1, g1673.t1, g1789.t1, g3017.t1, g3311.t1			
OG0000236		g1317.t1, g616.t1	g3180.t1			g3126.t1, g53.t1, g701.t1, g702.t1
OG0000237		g629.t1	g3068.t1, g3162.t1		g2138.t1, g4752.t1	g3875.t1, g780.t1
OG0000238		g653.t1	g2299.t1, g263.t1, g269.t1		g3951.t1	g1472.t1, g1648.t1
OG0000239		g674.t1	g2178.t1		g1066.t1	g2326.t1, g2749.t1, g3022.t1, g490.t1
OG0000240		g678.t1	g2174.t1		g1229.t1, g2119.t1, g3529.t1, g54.t1	g631.t1
OG0000241		g689.t1	g2159.t1, g226.t1		g1407.t1, g3119.t1, g5099.t1	g1961.t1
OG0000242		g870.t1	g1270.t1		g4589.t1	g1581.t1, g1631.t1, g3390.t1, g786.t1
OG0000243		g992.t1	g1593.t1		g1012.t1, g1781.t1, g619.t1	g1610.t1, g1707.t1
OG0000244		g1005.t1, g1006.t1	g1606.t1		g4006.t1	g1676.t1, g331.t1, g682.t1
OG0000245		g1094.t1	g1620.t1		g2891.t1, g3077.t1, g3375.t1, g4434.t1, g5122.t1	
OG0000246		g1174.t1, g1175.t1	g2427.t1, g2428.t1		g1827.t1, g3392.t1	g416.t1
OG0000247		g1182.t1	g1166.t1, g1982.t1		g2336.t1, g2758.t1, g3693.t1	g2357.t1
OG0000248		g1194.t1, g1196.t1	g1149.t1, g1719.t1		g3950.t1	g1473.t1, g1647.t1
OG0000249		g1305.t1	g2217.t1, g32.t1		g1898.t1, g3025.t1	g1115.t1, g2674.t1
OG0000250		g1801.t1	g1248.t1, g571.t1		g2628.t1, g3394.t1, g4299.t1	g2033.t1
OG0000251			g168.t1, g1939.t1, g3449.t1, g582.t1		g3274.t1, g4540.t1	g3086.t1
OG0000252			g184.t1, g2802.t1		g2578.t1, g3113.t1, g312.t1, g3365.t1	g3697.t1
OG0000253			g1099.t1, g1551.t1, g1985.t1, g230.t1, g2510.t1, g2710.t1, g300.t1			
OG0000254			g256.t1, g3476.t1		g1803.t1, g3570.t1, g4801.t1, g4998.t1	g3240.t1
OG0000255			g1368.t1, g2070.t1, g3024.t1, g333.t1, g389.t1, g392.t1, g511.t1			
OG0000256			g2824.t1, g2827.t1, g523.t1		g2515.t1, g4939.t1	g1036.t1, g4021.t1
OG0000257			g2742.t1, g2835.t1, g2927.t1, g600.t1, g818.t1, g911.t1			g2427.t1
OG0000258			g2703.t1, g783.t1		g2082.t1, g2241.t1, g274.t1, g3638.t1	g2957.t1
OG0000259			g1035.t1, g1188.t1, g2477.t1, g2624.t1, g2972.t1, g3067.t1, g3384.t1			
OG0000260			g1708.t1, g3046.t1		g121.t1, g1390.t1, g1627.t1, g2756.t1	g4094.t1
OG0000261			g1733.t1		g4272.t1, g5321.t1, g5323.t1	g2840.t1, g2841.t1, g629.t1
OG0000262			g1910.t1		g1878.t1, g3855.t1, g4266.t1, g4521.t1, g5482.t1, g907.t1	
OG0000263			g1971.t1, g1980.t1, g2001.t1, g2003.t1, g2587.t1, g2588.t1, g3085.t1			
OG0000264			g3362.t1		g190.t1, g196.t1, g197.t1, g2294.t1, g2349.t1, g4012.t1	
OG0000265					g1523.t1, g169.t1, g2996.t1, g357.t1	g3393.t1, g3505.t1, g489.t1
OG0000266					g4127.t1, g459.t1, g5233.t1, g5234.t1, g5235.t1, g5372.t1, g789.t1	
OG0000267					g1014.t1, g2812.t1, g2937.t1, g3288.t1, g486.t1, g5084.t1	g2806.t1
OG0000268					g1398.t1, g1897.t1, g3166.t1, g4386.t1, g5135.t1, g692.t1	g3252.t1
OG0000269					g2719.t1, g3164.t1, g3812.t1, g4611.t1, g5310.t1, g693.t1	g139.t1
OG0000270					g1396.t1, g2080.t1, g2315.t1, g2320.t1, g4309.t1, g709.t1	g2940.t1
OG0000271					g1247.t1, g1287.t1, g2471.t1, g3370.t1, g3970.t1, g889.t1	g3138.t1
OG0000272					g1123.t1, g3645.t1, g3790.t1, g4218.t1	g1325.t1, g2077.t1, g3603.t1
OG0000273					g1272.t1, g1359.t1, g2245.t1, g2246.t1, g4275.t1, g4276.t1	g622.t1
OG0000274					g2364.t1, g2365.t1, g2386.t1, g2387.t1, g2395.t1, g2638.t1, g4016.t1	
OG0000275					g3219.t1, g5247.t1	g1088.t1, g1358.t1, g2560.t1, g2999.t1, g3307.t1
OG0000276					g3631.t1	g2062.t1, g3030.t1, g3614.t1, g3841.t1, g3842.t1, g3845.t1
OG0000277					g3833.t1	g1122.t1, g1360.t1, g2269.t1, g2399.t1, g2564.t1, g636.t1
OG0000278						g2968.t1, g2969.t1, g31.t1, g37.t1, g3715.t1, g3716.t1, g3827.t1
OG0000279						g145.t1, g3508.t1, g3745.t1, g3746.t1, g3795.t1, g4002.t1, g41.t1
OG0000280						g1159.t1, g2818.t1, g286.t1, g319.t1, g767.t1, g860.t1, g972.t1
OG0000281						g1368.t1, g1423.t1, g1468.t1, g1865.t1, g2115.t1, g300.t1, g932.t1
OG0000282						g1508.t1, g2064.t1, g2187.t1, g2267.t1, g3031.t1, g3444.t1, g4079.t1
OG0000283	g315.t1, g33.t1	g351.t1	g2552.t1		g269.t1	g2591.t1
OG0000284	g42.t1	g382.t1	g2498.t1		g2909.t1	g2067.t1, g4032.t1
OG0000285	g47.t1				g2912.t1	g1134.t1, g1277.t1, g1879.t1, g772.t1
OG0000286	g52.t1	g388.t1	g1371.t1		g408.t1, g448.t1	g488.t1
OG0000287	g72.t1				g2053.t1, g432.t1, g4685.t1	g3162.t1, g442.t1
OG0000288	g84.t1				g1152.t1, g360.t1, g4253.t1, g4418.t1	g3044.t1
OG0000289	g102.t1, g272.t1	g995.t1	g1596.t1		g37.t1	g1613.t1
OG0000290	g125.t1	g1070.t1	g1691.t1, g3172.t1		g1477.t1, g5123.t1	
OG0000291	g130.t1	g1637.t1	g1806.t1		g2486.t1, g5314.t1	g2838.t1
OG0000292	g132.t1	g436.t1	g1439.t1		g556.t1	g2309.t1, g2860.t1
OG0000293	g139.t1		g2163.t1		g1842.t1, g3295.t1	g1757.t1, g254.t1
OG0000294	g148.t1	g1283.t1, g1284.t1	g2869.t1		g5389.t1	g431.t1
OG0000295	g154.t1	g1722.t1	g3260.t1, g811.t1		g5467.t1	g3609.t1
OG0000296	g163.t1	g1359.t1	g2974.t1		g2096.t1, g3887.t1	g2373.t1
OG0000297	g170.t1	g1336.t1	g2937.t1		g3182.t1	g108.t1, g307.t1
OG0000298	g171.t1, g370.t1	g1341.t1	g2943.t1		g3179.t1	g109.t1
OG0000299	g198.t1	g1219.t1	g156.t1, g2731.t1		g198.t1	g1373.t1
OG0000300	g209.t1	g1084.t1	g1613.t1, g2060.t1			g2761.t1, g3729.t1
OG0000301	g222.t1	g1476.t1	g696.t1	g4.t1	g4338.t1	g3199.t1
OG0000302	g224.t1	g1466.t1	g708.t1	g5.t1	g4329.t1	g3190.t1
OG0000303	g225.t1	g1465.t1	g709.t1	g6.t1	g4328.t1	g3189.t1
OG0000304	g241.t1	g188.t1	g3548.t1		g3772.t1	g2824.t1, g933.t1
OG0000305	g243.t1		g1274.t1		g1409.t1, g4527.t1	g2723.t1, g2724.t1
OG0000306	g246.t1	g15.t1	g16.t1		g4081.t1	g1789.t1, g598.t1
OG0000307	g264.t1		g2468.t1, g3502.t1		g2033.t1, g231.t1	g1261.t1
OG0000308	g275.t1	g1510.t1	g635.t1	g1.t1	g4355.t1	g3867.t1
OG0000309	g276.t1	g1500.t1	g646.t1	g2.t1	g4353.t1	g3869.t1
OG0000310	g281.t1	g1277.t1	g2268.t1		g1083.t1, g1616.t1	g453.t1
OG0000311	g295.t1	g1537.t1	g1096.t1, g3337.t1		g4643.t1	g47.t1
OG0000312	g296.t1	g1060.t1	g1672.t1		g4220.t1, g674.t1	g1345.t1
OG0000313	g309.t1	g988.t1	g1589.t1		g3212.t1, g5236.t1	g1941.t1
OG0000314	g322.t1				g1352.t1, g2990.t1, g4438.t1, g852.t1	g1334.t1
OG0000315	g332.t1	g1841.t1, g717.t1	g2123.t1		g4496.t1	g125.t1
OG0000316	g355.t1		g1066.t1		g2917.t1, g4846.t1	g3072.t1, g3267.t1
OG0000317	g358.t1	g177.t1	g3559.t1		g4842.t1, g663.t1	g3069.t1
OG0000318	g401.t1, g422.t1		g740.t1		g135.t1, g3642.t1, g757.t1	
OG0000319	g413.t1	g372.t1	g2519.t1		g2141.t1, g917.t1	g2621.t1
OG0000320	g414.t1	g1837.t1			g918.t1	g1.t1, g3830.t1, g3926.t1
OG0000321	g426.t1		g3114.t1		g2118.t1, g2549.t1, g2555.t1, g5512.t1	
OG0000322	g433.t1	g1067.t1	g1682.t1		g2307.t1, g3709.t1	g2743.t1
OG0000323	g442.t1	g1285.t1	g2870.t1		g1468.t1, g379.t1	g3332.t1
OG0000324	g454.t1	g1304.t1	g2216.t1		g218.t1, g3027.t1	g1113.t1
OG0000325	g481.t1	g939.t1	g1528.t1		g1355.t1	g2887.t1, g3359.t1
OG0000326	g486.t1	g1330.t1	g2931.t1, g559.t1		g1634.t1	g3459.t1
OG0000327	g502.t1	g57.t1			g4450.t1, g4553.t1	g1329.t1, g3785.t1
OG0000328		g12.t1	g13.t1		g1013.t1, g655.t1	g1611.t1, g3235.t1
OG0000329		g1222.t1, g30.t1	g1777.t1, g291.t1, g3401.t1		g3606.t1	
OG0000330		g68.t1				g3589.t1, g3698.t1, g3738.t1, g425.t1, g719.t1
OG0000331		g120.t1	g3156.t1, g936.t1		g5398.t1	g3658.t1, g3688.t1
OG0000332		g210.t1	g1013.t1, g492.t1		g5342.t1	g2336.t1, g3659.t1
OG0000333		g212.t1	g1026.t1, g1186.t1, g1772.t1, g1773.t1, g2316.t1			
OG0000334		g215.t1	g404.t1		g848.t1	g1921.t1, g2180.t1, g3018.t1
OG0000335		g248.t1	g234.t1, g467.t1, g65.t1			g3490.t1, g538.t1
OG0000336		g1389.t1, g262.t1, g263.t1	g273.t1, g3011.t1, g3523.t1			
OG0000337		g280.t1	g3379.t1		g5024.t1, g5404.t1	g1685.t1, g3952.t1
OG0000338		g299.t1			g1981.t1	g2046.t1, g3639.t1, g3804.t1, g3805.t1
OG0000339		g310.t1	g1592.t1, g2211.t1, g2486.t1		g1019.t1	g2325.t1
OG0000340		g364.t1	g2536.t1		g1775.t1, g4482.t1	g2402.t1, g402.t1
OG0000341		g367.t1, g454.t1	g2380.t1, g2530.t1		g1753.t1, g5021.t1	
OG0000342		g1866.t1, g440.t1	g1448.t1, g2886.t1		g2871.t1	g167.t1
OG0000343		g446.t1, g652.t1	g1454.t1		g3739.t1	g1275.t1, g2773.t1
OG0000344		g483.t1	g1072.t1, g1074.t1, g2330.t1		g3724.t1	g216.t1
OG0000345		g560.t1	g3240.t1		g3031.t1, g4563.t1	g1108.t1, g3144.t1
OG0000346		g1649.t1, g1725.t1, g568.t1	g918.t1, g924.t1			g3612.t1
OG0000347		g636.t1	g3155.t1		g1222.t1	g3223.t1, g458.t1, g83.t1
OG0000348		g661.t1	g2733.t1		g2006.t1, g377.t1, g378.t1	g2782.t1
OG0000349		g710.t1	g2134.t1		g2311.t1, g4503.t1	g118.t1, g1718.t1
OG0000350		g728.t1	g1790.t1		g2188.t1, g2597.t1, g4722.t1	g3521.t1
OG0000351		g1348.t1, g743.t1	g2954.t1		g2922.t1, g3346.t1, g4184.t1	
OG0000352		g798.t1	g2642.t1, g2643.t1, g3528.t1		g2317.t1	g771.t1
OG0000353		g811.t1	g1183.t1, g1419.t1, g1443.t1, g2338.t1		g1946.t1	
OG0000354		g869.t1	g1269.t1		g1833.t1, g2095.t1	g2075.t1, g783.t1
OG0000355		g907.t1, g908.t1	g1318.t1		g2183.t1	g3278.t1, g3297.t1
OG0000356		g938.t1	g1527.t1, g3006.t1, g3349.t1		g936.t1	g293.t1
OG0000357		g954.t1	g1559.t1, g31.t1		g508.t1	g3468.t1, g731.t1
OG0000358		g1008.t1	g1607.t1		g4007.t1	g1675.t1, g330.t1, g681.t1
OG0000359		g1054.t1	g2628.t1		g2393.t1, g4523.t1, g4624.t1	g3120.t1
OG0000360		g1064.t1	g1679.t1		g1971.t1, g4854.t1	g2501.t1, g3510.t1
OG0000361		g1069.t1, g1261.t1	g1684.t1, g2843.t1		g3810.t1	g2828.t1
OG0000362		g1368.t1	g2984.t1		g3927.t1, g714.t1	g1971.t1, g438.t1
OG0000363		g1377.t1, g1613.t1	g1842.t1, g2995.t1		g2314.t1	g1462.t1
OG0000364		g1378.t1	g1956.t1, g2998.t1		g1170.t1	g2125.t1, g2607.t1
OG0000365		g1427.t1	g2257.t1		g2172.t1, g3732.t1, g3963.t1	g3972.t1
OG0000366		g1450.t1	g1463.t1		g1997.t1, g5353.t1	g3225.t1, g773.t1
OG0000367		g1521.t1	g3538.t1		g107.t1, g2087.t1, g4765.t1	g166.t1
OG0000368		g1587.t1	g1882.t1		g2149.t1	g1053.t1, g3112.t1, g327.t1
OG0000369		g1590.t1	g1881.t1		g2179.t1, g3690.t1	g1409.t1, g2624.t1
OG0000370		g1600.t1, g1691.t1	g1864.t1, g2358.t1, g2419.t1, g856.t1			
OG0000371		g1648.t1, g1724.t1	g919.t1, g925.t1		g5469.t1	g3611.t1
OG0000372		g1650.t1, g1726.t1	g917.t1, g921.t1, g923.t1			g3613.t1
OG0000373		g1683.t1	g1394.t1, g868.t1		g3127.t1, g5255.t1	g1415.t1
OG0000374		g1692.t1	g3063.t1, g3283.t1, g853.t1		g3995.t1	g739.t1
OG0000375		g1792.t1	g1690.t1, g3232.t1		g108.t1, g2603.t1	g1664.t1
OG0000376		g1854.t1	g1739.t1, g1960.t1, g2270.t1, g3403.t1, g3404.t1			
OG0000377			g41.t1		g1623.t1, g3528.t1, g4217.t1	g1023.t1, g1440.t1
OG0000378			g171.t1, g1942.t1, g3446.t1, g585.t1		g4539.t1	g3085.t1
OG0000379			g2743.t1, g2836.t1, g2928.t1, g599.t1, g910.t1		g724.t1	
OG0000380			g1921.t1, g608.t1		g1048.t1, g1053.t1	g1641.t1, g1815.t1
OG0000381			g836.t1		g2098.t1, g2099.t1, g3840.t1	g163.t1, g2949.t1
OG0000382			g974.t1		g3045.t1, g3047.t1, g77.t1	g1136.t1, g1138.t1
