Orthogroup	Mycobacterium_leprae	Neisseria_gonorrhoeae
OG0001210	g1470.t1	
OG0001211	g1471.t1	
OG0001212	g1472.t1	
OG0001213	g1473.t1	
OG0001214	g1474.t1	
OG0001215	g1475.t1	
OG0001216	g1477.t1	
OG0001217	g1478.t1	
OG0001218	g1479.t1	
OG0001219	g1480.t1	
OG0001220	g1481.t1	
OG0001221	g1482.t1	
OG0001222	g1483.t1	
OG0001223	g1484.t1	
OG0001224	g1485.t1	
OG0001225	g1486.t1	
OG0001226	g1488.t1	
OG0001227	g1491.t1	
OG0001228	g1492.t1	
OG0001229	g1494.t1	
OG0001230	g1495.t1	
OG0001231	g1496.t1	
OG0001232	g1497.t1	
OG0001233	g1498.t1	
OG0001234	g1501.t1	
OG0001235	g1508.t1	
OG0001236	g1509.t1	
OG0001237	g1511.t1	
OG0001238	g1512.t1	
OG0001239	g1513.t1	
OG0001240	g1518.t1	
OG0001241	g1519.t1	
OG0001242	g1520.t1	
OG0001243	g1521.t1	
OG0001244	g1524.t1	
OG0001245	g1525.t1	
OG0001246	g1526.t1	
OG0001247	g1527.t1	
OG0001248	g1528.t1	
OG0001249	g1529.t1	
OG0001250	g1530.t1	
OG0001251	g1531.t1	
OG0001252	g1532.t1	
OG0001253	g1533.t1	
OG0001254	g1534.t1	
OG0001255	g1536.t1	
OG0001256	g1537.t1	
OG0001257	g1538.t1	
OG0001258	g1539.t1	
OG0001259	g1540.t1	
OG0001260	g1542.t1	
OG0001261	g1543.t1	
OG0001262	g1544.t1	
OG0001263	g1546.t1	
OG0001264	g1547.t1	
OG0001265	g1550.t1	
OG0001266	g1551.t1	
OG0001267	g1552.t1	
OG0001268	g1553.t1	
OG0001269	g1554.t1	
OG0001270	g1556.t1	
OG0001271	g1557.t1	
OG0001272	g1558.t1	
OG0001273	g1560.t1	
OG0001274	g1561.t1	
OG0001275	g1562.t1	
OG0001276	g1563.t1	
OG0001277	g1564.t1	
OG0001278	g1565.t1	
OG0001279	g1566.t1	
OG0001280	g1567.t1	
OG0001281	g1568.t1	
OG0001282	g1569.t1	
OG0001283	g1571.t1	
OG0001284	g1573.t1	
OG0001285	g1576.t1	
OG0001286	g1577.t1	
OG0001287	g1578.t1	
OG0001288	g1580.t1	
OG0001289	g1581.t1	
OG0001290	g1582.t1	
OG0001291	g1583.t1	
OG0001292	g1585.t1	
OG0001293	g1586.t1	
OG0001294	g1588.t1	
OG0001295	g1589.t1	
OG0001296	g1590.t1	
OG0001297	g1591.t1	
OG0001298	g1593.t1	
OG0001299	g1594.t1	
OG0001300	g1595.t1	
OG0001301	g1596.t1	
OG0001302	g1597.t1	
OG0001303	g1598.t1	
OG0001304	g1601.t1	
OG0001305	g1602.t1	
OG0001306	g1603.t1	
OG0001307	g1604.t1	
OG0001308	g1605.t1	
OG0001309	g1606.t1	
OG0001310	g1607.t1	
OG0001311	g1608.t1	
OG0001312	g1610.t1	
OG0001313	g1611.t1	
OG0001314	g1612.t1	
OG0001315	g1614.t1	
OG0001316	g1615.t1	
OG0001317	g1617.t1	
OG0001318	g1618.t1	
OG0001319	g1619.t1	
OG0001320	g1620.t1	
OG0001321	g1621.t1	
OG0001322	g1622.t1	
OG0001323	g1623.t1	
OG0001324	g1624.t1	
OG0001325	g1627.t1	
OG0001326	g1628.t1	
OG0001327	g1629.t1	
OG0001328	g1630.t1	
OG0001329	g1631.t1	
OG0001330	g1632.t1	
OG0001331	g1633.t1	
OG0001332	g1634.t1	
OG0001333	g1635.t1	
OG0001334	g1637.t1	
OG0001335	g1638.t1	
OG0001336	g1639.t1	
OG0001337	g1644.t1	
OG0001338	g1645.t1	
OG0001339	g1646.t1	
OG0001340	g1647.t1	
OG0001341	g1651.t1	
OG0001342	g1652.t1	
OG0001343	g1653.t1	
OG0001344	g1654.t1	
OG0001345	g1655.t1	
OG0001346	g1656.t1	
OG0001347	g1657.t1	
OG0001348	g1658.t1	
OG0001349	g1659.t1	
OG0001350	g1660.t1	
OG0001351	g1661.t1	
OG0001352	g1663.t1	
OG0001353	g1664.t1	
OG0001354	g1665.t1	
OG0001355	g1667.t1	
OG0001356	g1668.t1	
OG0001357	g1669.t1	
OG0001358	g1670.t1	
OG0001359	g1671.t1	
OG0001360	g1675.t1	
OG0001361	g1676.t1	
OG0001362	g1679.t1	
OG0001363	g1680.t1	
OG0001364	g1681.t1	
OG0001365	g1682.t1	
OG0001366	g1683.t1	
OG0001367	g1684.t1	
OG0001368	g1685.t1	
OG0001369	g1686.t1	
OG0001370	g1687.t1	
OG0001371	g1688.t1	
OG0001372	g1689.t1	
OG0001373	g1692.t1	
OG0001374	g1693.t1	
OG0001375	g1694.t1	
OG0001376	g1695.t1	
OG0001377	g1696.t1	
OG0001378	g1697.t1	
OG0001379	g1698.t1	
OG0001380	g1701.t1	
OG0001381	g1702.t1	
OG0001382	g1705.t1	
OG0001383	g1706.t1	
OG0001384	g1707.t1	
OG0001385	g1708.t1	
OG0001386	g1709.t1	
OG0001387	g1710.t1	
OG0001388	g1711.t1	
OG0001389	g1712.t1	
OG0001390	g1713.t1	
OG0001391	g1714.t1	
OG0001392	g1715.t1	
OG0001393	g1716.t1	
OG0001394	g1717.t1	
OG0001395	g1719.t1	
OG0001396	g1720.t1	
OG0001397	g1721.t1	
OG0001398	g1722.t1	
OG0001399	g1727.t1	
OG0001400	g1728.t1	
OG0001401	g1729.t1	
OG0001402	g1730.t1	
OG0001403	g1731.t1	
OG0001404	g1732.t1	
OG0001405	g1734.t1	
OG0001406	g1736.t1	
OG0001407	g1737.t1	
OG0001408	g1738.t1	
OG0001409	g1739.t1	
OG0001410	g1741.t1	
OG0001411	g1742.t1	
OG0001412	g1743.t1	
OG0001413	g1744.t1	
OG0001414	g1745.t1	
OG0001415	g1746.t1	
OG0001416	g1747.t1	
OG0001417	g1748.t1	
OG0001418	g1749.t1	
OG0001419	g1750.t1	
OG0001420	g1751.t1	
OG0001421	g1752.t1	
OG0001422	g1753.t1	
OG0001423	g1754.t1	
OG0001424	g1755.t1	
OG0001425	g1757.t1	
OG0001426	g1758.t1	
OG0001427	g1759.t1	
OG0001428	g1761.t1	
OG0001429	g1762.t1	
OG0001430	g1763.t1	
OG0001431	g1764.t1	
OG0001432	g1765.t1	
OG0001433	g1766.t1	
OG0001434	g1768.t1	
OG0001435	g1769.t1	
OG0001436	g1770.t1	
OG0001437	g1772.t1	
OG0001438	g1773.t1	
OG0001439	g1774.t1	
OG0001440	g1775.t1	
OG0001441	g1778.t1	
OG0001442	g1779.t1	
OG0001443	g1780.t1	
OG0001444	g1781.t1	
OG0001445	g1782.t1	
OG0001446	g1784.t1	
OG0001447	g1785.t1	
OG0001448	g1786.t1	
OG0001449	g1788.t1	
OG0001450	g1789.t1	
OG0001451	g1790.t1	
OG0001452	g1791.t1	
OG0001453	g1792.t1	
OG0001454	g1793.t1	
OG0001455	g1794.t1	
OG0001456	g1796.t1	
OG0001457	g1797.t1	
OG0001458	g1798.t1	
OG0001459	g1799.t1	
OG0001460	g1800.t1	
OG0001461	g1801.t1	
OG0001462	g1802.t1	
OG0001463	g1803.t1	
OG0001464	g1804.t1	
OG0001465	g1805.t1	
OG0001466	g1806.t1	
OG0001467	g1807.t1	
OG0001468	g1808.t1	
OG0001469	g1809.t1	
OG0001470	g1810.t1	
OG0001471	g1811.t1	
OG0001472	g1814.t1	
OG0001473	g1815.t1	
OG0001474	g1819.t1	
OG0001475	g1820.t1	
OG0001476	g1825.t1	
OG0001477	g1826.t1	
OG0001478	g1827.t1	
OG0001479	g1828.t1	
OG0001480	g1829.t1	
OG0001481	g1830.t1	
OG0001482	g1831.t1	
OG0001483	g1832.t1	
OG0001484	g1833.t1	
OG0001485	g1834.t1	
OG0001486	g1835.t1	
OG0001487	g1836.t1	
OG0001488	g1838.t1	
OG0001489	g1839.t1	
OG0001490	g1840.t1	
OG0001491	g1842.t1	
OG0001492	g1843.t1	
OG0001493	g1844.t1	
OG0001494	g1845.t1	
OG0001495	g1846.t1	
OG0001496	g1850.t1	
OG0001497	g1851.t1	
OG0001498	g1852.t1	
OG0001499	g1853.t1	
OG0001500	g1854.t1	
OG0001501	g1855.t1	
OG0001502	g1856.t1	
OG0001503	g1858.t1	
OG0001504	g1860.t1	
OG0001505	g1861.t1	
OG0001506	g1862.t1	
OG0001507	g1863.t1	
OG0001508	g1875.t1	
OG0001509		g7.t1
