Orthogroup	Mycobacterium_tuberculosis	Salmonella_enterica
OG0000274	g6.t1	g2119.t1, g2951.t1
OG0000275	g9.t1	g3237.t1, g501.t1
OG0000276	g12.t1, g1803.t1, g1805.t1	
OG0000277	g16.t1	g1789.t1, g598.t1
OG0000278	g25.t1, g26.t1, g727.t1	
OG0000279	g1003.t1, g39.t1, g578.t1	
OG0000280	g1108.t1, g3422.t1, g44.t1	
OG0000281	g2443.t1, g52.t1	g3960.t1
OG0000282	g1080.t1, g68.t1	g2385.t1
OG0000283	g2263.t1, g73.t1	g1452.t1
OG0000284	g82.t1, g85.t1	g2645.t1
OG0000285	g113.t1, g614.t1	g709.t1
OG0000286	g119.t1, g674.t1	g3212.t1
OG0000287	g125.t1, g2438.t1	g370.t1
OG0000288	g133.t1, g1917.t1	g310.t1
OG0000289	g1042.t1, g139.t1, g1654.t1	
OG0000290	g142.t1	g1384.t1, g198.t1
OG0000291	g147.t1, g3450.t1, g3498.t1	
OG0000292	g148.t1, g3093.t1	g3149.t1
OG0000293	g182.t1	g3012.t1, g3306.t1
OG0000294	g184.t1, g2802.t1	g3697.t1
OG0000295	g206.t1	g1375.t1, g3343.t1
OG0000296	g1417.t1, g215.t1, g272.t1	
OG0000297	g2159.t1, g226.t1	g3473.t1
OG0000298	g1242.t1, g229.t1, g513.t1	
OG0000299	g233.t1, g662.t1	g4071.t1
OG0000300	g271.t1, g3012.t1, g927.t1	
OG0000301	g1762.t1, g283.t1, g3402.t1	
OG0000302	g1376.t1, g285.t1, g2971.t1	
OG0000303	g1776.t1, g290.t1, g3400.t1	
OG0000304	g1777.t1, g291.t1, g3401.t1	
OG0000305	g296.t1	g34.t1, g818.t1
OG0000306	g313.t1, g669.t1, g670.t1	
OG0000307	g316.t1	g2129.t1, g3315.t1
OG0000308	g1068.t1, g1158.t1, g322.t1	
OG0000309	g2098.t1, g343.t1	g1480.t1
OG0000310	g349.t1	g1034.t1, g12.t1
OG0000311	g361.t1	g101.t1, g2210.t1
OG0000312	g381.t1	g1954.t1, g3714.t1
OG0000313	g1834.t1, g388.t1	g1130.t1
OG0000314	g1902.t1, g394.t1	g344.t1
OG0000315	g404.t1	g1921.t1, g3018.t1
OG0000316	g3373.t1, g435.t1	g4028.t1
OG0000317	g1796.t1, g2861.t1, g447.t1	
OG0000318	g452.t1, g770.t1	g1758.t1
OG0000319	g3000.t1, g467.t1	g3855.t1
OG0000320	g480.t1	g1382.t1, g633.t1
OG0000321	g1962.t1, g483.t1	g2850.t1
OG0000322	g490.t1	g1434.t1, g2868.t1
OG0000323	g1848.t1, g2022.t1, g497.t1	
OG0000324	g500.t1, g629.t1, g631.t1	
OG0000325	g2448.t1, g501.t1	g2950.t1
OG0000326	g516.t1, g762.t1	g2052.t1
OG0000327	g531.t1	g711.t1, g871.t1
OG0000328	g2251.t1, g540.t1	g3350.t1
OG0000329	g2027.t1, g547.t1	g1367.t1
OG0000330	g552.t1	g1974.t1, g3478.t1
OG0000331	g2633.t1, g555.t1	g1500.t1
OG0000332	g557.t1, g976.t1	g3079.t1
OG0000333	g2005.t1, g2114.t1, g566.t1	
OG0000334	g1320.t1, g569.t1	g937.t1
OG0000335	g573.t1, g899.t1	g378.t1
OG0000336	g2823.t1, g3340.t1, g620.t1	
OG0000337	g3150.t1, g641.t1	g3707.t1
OG0000338	g1550.t1, g1984.t1, g650.t1	
OG0000339	g1818.t1, g2813.t1, g653.t1	
OG0000340	g675.t1	g3211.t1, g3863.t1
OG0000341	g1849.t1, g678.t1	g2635.t1
OG0000342	g3036.t1, g749.t1	g1519.t1
OG0000343	g3069.t1, g3241.t1, g805.t1	
OG0000344	g3376.t1, g809.t1	g1486.t1
OG0000345	g3260.t1, g811.t1	g3609.t1
OG0000346	g3226.t1, g3433.t1, g812.t1	
OG0000347	g834.t1	g1650.t1, g2095.t1
OG0000348	g836.t1	g163.t1, g2949.t1
OG0000349	g839.t1	g1085.t1, g1411.t1
OG0000350	g1539.t1, g2158.t1, g841.t1	
OG0000351	g1422.t1, g2945.t1, g885.t1	
OG0000352	g1357.t1, g1713.t1, g895.t1	
OG0000353	g937.t1	g2715.t1, g2822.t1
OG0000354	g1969.t1, g3228.t1, g955.t1	
OG0000355	g2466.t1, g960.t1	g3153.t1
OG0000356	g980.t1	g1638.t1, g1959.t1
OG0000357	g986.t1	g1006.t1, g2474.t1
OG0000358	g1013.t1	g2336.t1, g3659.t1
OG0000359	g1023.t1, g1024.t1, g3341.t1	
OG0000360	g1049.t1, g3042.t1	g1640.t1
OG0000361	g1062.t1, g2353.t1, g3436.t1	
OG0000362	g1079.t1	g1983.t1, g3862.t1
OG0000363	g1091.t1, g2020.t1	g1515.t1
OG0000364	g1141.t1, g1855.t1, g2940.t1	
OG0000365	g1149.t1	g1473.t1, g1647.t1
OG0000366	g1150.t1	g1474.t1, g1646.t1
OG0000367	g1151.t1	g1475.t1, g1645.t1
OG0000368	g1191.t1	g2317.t1, g3849.t1
OG0000369	g1201.t1, g2981.t1	g1950.t1
OG0000370	g1204.t1, g1815.t1, g2751.t1	
OG0000371	g1207.t1	g3093.t1, g3322.t1
OG0000372	g1218.t1, g1456.t1	g2012.t1
OG0000373	g1231.t1, g2073.t1, g2821.t1	
OG0000374	g1250.t1, g2577.t1	g2944.t1
OG0000375	g1269.t1	g2075.t1, g783.t1
OG0000376	g1318.t1	g3278.t1, g3297.t1
OG0000377	g1319.t1	g1704.t1, g756.t1
OG0000378	g1362.t1, g1645.t1, g1650.t1	
OG0000379	g1373.t1, g2809.t1	g64.t1
OG0000380	g1396.t1	g2144.t1, g3174.t1
OG0000381	g1397.t1	g1731.t1, g3175.t1
OG0000382	g1405.t1, g1919.t1	g1598.t1
OG0000383	g1439.t1	g2309.t1, g2860.t1
OG0000384	g1463.t1	g3225.t1, g773.t1
OG0000385	g1479.t1	g4058.t1, g467.t1
OG0000386	g1481.t1, g1484.t1, g1485.t1	
OG0000387	g1514.t1, g2586.t1, g2901.t1	
OG0000388	g1528.t1	g2887.t1, g3359.t1
OG0000389	g1536.t1, g3325.t1	g226.t1
OG0000390	g1540.t1, g2447.t1	g3941.t1
OG0000391	g1586.t1, g2568.t1	g1939.t1
OG0000392	g1606.t1	g1676.t1, g682.t1
OG0000393	g1640.t1	g1210.t1, g3234.t1
OG0000394	g1663.t1, g3045.t1, g3520.t1	
OG0000395	g1679.t1	g2501.t1, g3510.t1
OG0000396	g1691.t1, g3172.t1	g1698.t1
OG0000397	g1702.t1, g1753.t1	g3426.t1
OG0000398	g1797.t1, g3487.t1	g642.t1
OG0000399	g1801.t1, g3200.t1	g132.t1
OG0000400	g1827.t1	g1268.t1, g557.t1
OG0000401	g1837.t1	g2919.t1, g716.t1
OG0000402	g1845.t1, g2187.t1, g3007.t1	
OG0000403	g1852.t1	g1512.t1, g3453.t1
OG0000404	g1881.t1	g1409.t1, g2624.t1
OG0000405	g1932.t1, g1996.t1, g3134.t1	
OG0000406	g1953.t1, g2988.t1, g3300.t1	
OG0000407	g1988.t1, g1989.t1, g3182.t1	
OG0000408	g2007.t1, g3077.t1, g3082.t1	
OG0000409	g2031.t1	g1770.t1, g2655.t1
OG0000410	g2035.t1, g2360.t1	g2737.t1
OG0000411	g2125.t1	g123.t1, g597.t1
OG0000412	g2134.t1	g118.t1, g1718.t1
OG0000413	g2163.t1	g1757.t1, g254.t1
OG0000414	g2171.t1, g2472.t1, g3168.t1	
OG0000415	g2177.t1	g199.t1, g3275.t1
OG0000416	g2188.t1	g149.t1, g678.t1
OG0000417	g2197.t1, g2198.t1, g2630.t1	
OG0000418	g2222.t1, g3261.t1	g3289.t1
OG0000419	g2333.t1	g2409.t1, g3270.t1
OG0000420	g2370.t1	g2280.t1, g3793.t1
OG0000421	g2379.t1, g2380.t1, g2530.t1	
OG0000422	g2413.t1	g1104.t1, g3143.t1
OG0000423	g2470.t1, g3511.t1	g1254.t1
OG0000424	g2499.t1	g2842.t1, g3719.t1
OG0000425	g2508.t1, g2509.t1, g2747.t1	
OG0000426	g2516.t1	g1263.t1, g3615.t1
OG0000427	g2536.t1	g2402.t1, g402.t1
OG0000428	g2576.t1, g2700.t1	g1818.t1
OG0000429	g2642.t1, g2643.t1	g771.t1
OG0000430	g2661.t1, g2667.t1	g2714.t1
OG0000431	g2668.t1, g2739.t1	g770.t1
OG0000432	g2707.t1	g2323.t1, g3295.t1
OG0000433	g2709.t1, g3222.t1	g4111.t1
OG0000434	g2726.t1	g3404.t1, g3890.t1
OG0000435	g2727.t1	g2126.t1, g989.t1
OG0000436	g2793.t1	g238.t1, g898.t1
OG0000437	g2907.t1, g2910.t1	g2574.t1
OG0000438	g2926.t1	g2652.t1, g387.t1
OG0000439	g2963.t1	g2263.t1, g3497.t1
OG0000440	g2984.t1	g1971.t1, g438.t1
OG0000441	g3004.t1	g1533.t1, g3606.t1
OG0000442	g3013.t1	g4113.t1, g558.t1
OG0000443	g3027.t1	g2084.t1, g81.t1
OG0000444	g3071.t1, g3282.t1	g741.t1
OG0000445	g3106.t1	g2165.t1, g2380.t1
OG0000446	g3174.t1	g2154.t1, g553.t1
OG0000447	g3178.t1, g3219.t1, g3372.t1	
OG0000448	g3201.t1	g2484.t1, g3095.t1
OG0000449	g3240.t1	g1108.t1, g3144.t1
OG0000450	g3242.t1	g1276.t1, g2774.t1
OG0000451	g3244.t1, g3370.t1	g1828.t1
OG0000452	g3348.t1	g49.t1, g619.t1
OG0000453	g3379.t1	g1685.t1, g3952.t1
OG0000454	g3414.t1	g1958.t1, g3667.t1
OG0000455	g3418.t1, g3484.t1	g110.t1
OG0000456		g3507.t1, g3747.t1, g40.t1
OG0000457		g4005.t1, g50.t1, g584.t1
OG0000458		g4006.t1, g51.t1, g583.t1
OG0000459		g3125.t1, g52.t1, g703.t1
OG0000460		g3127.t1, g54.t1, g700.t1
OG0000461		g2956.t1, g3224.t1, g82.t1
OG0000462		g1734.t1, g2698.t1, g85.t1
OG0000463		g3657.t1, g420.t1, g89.t1
OG0000464		g1105.t1, g2754.t1, g92.t1
OG0000465		g3436.t1, g4082.t1, g97.t1
OG0000466		g1532.t1, g184.t1, g2466.t1
OG0000467		g1682.t1, g250.t1, g2893.t1
OG0000468		g265.t1, g266.t1, g2910.t1
OG0000469		g1380.t1, g2611.t1, g306.t1
OG0000470		g1710.t1, g2071.t1, g317.t1
OG0000471		g1074.t1, g1438.t1, g351.t1
OG0000472		g2247.t1, g2794.t1, g389.t1
OG0000473		g3272.t1, g3523.t1, g445.t1
OG0000474		g2865.t1, g3427.t1, g493.t1
OG0000475		g1714.t1, g3526.t1, g532.t1
OG0000476		g1713.t1, g3527.t1, g533.t1
OG0000477		g3292.t1, g3838.t1, g560.t1
OG0000478		g1541.t1, g1550.t1, g572.t1
OG0000479		g3025.t1, g607.t1, g608.t1
OG0000480		g1251.t1, g2488.t1, g696.t1
OG0000481		g2176.t1, g3130.t1, g699.t1
OG0000482		g1143.t1, g717.t1, g812.t1
OG0000483		g1521.t1, g2093.t1, g735.t1
OG0000484		g1331.t1, g3461.t1, g805.t1
OG0000485		g2185.t1, g4077.t1, g816.t1
OG0000486		g2186.t1, g4078.t1, g817.t1
OG0000487		g1747.t1, g846.t1, g959.t1
OG0000488		g2436.t1, g847.t1, g960.t1
OG0000489		g2434.t1, g849.t1, g962.t1
OG0000490		g2428.t1, g853.t1, g965.t1
OG0000491		g2426.t1, g854.t1, g966.t1
OG0000492		g2425.t1, g855.t1, g967.t1
OG0000493		g2424.t1, g856.t1, g968.t1
OG0000494		g2423.t1, g857.t1, g969.t1
OG0000495		g2422.t1, g858.t1, g970.t1
OG0000496		g2421.t1, g859.t1, g971.t1
OG0000497		g2420.t1, g861.t1, g974.t1
OG0000498		g2418.t1, g863.t1, g976.t1
OG0000499		g2202.t1, g4042.t1, g903.t1
OG0000500		g2328.t1, g2861.t1, g912.t1
OG0000501		g1750.t1, g2456.t1, g942.t1
OG0000502		g1014.t1, g2442.t1, g955.t1
OG0000503		g2440.t1, g2528.t1, g957.t1
OG0000504		g1158.t1, g2085.t1, g985.t1
OG0000505		g1029.t1, g2134.t1, g3024.t1
OG0000506		g1042.t1, g1408.t1, g1615.t1
OG0000507		g1075.t1, g1768.t1, g2242.t1
OG0000508		g1078.t1, g1163.t1, g1530.t1
OG0000509		g1161.t1, g3565.t1, g3566.t1
OG0000510		g1174.t1, g1292.t1, g2019.t1
OG0000511		g1205.t1, g1602.t1, g3170.t1
OG0000512		g1264.t1, g1265.t1, g3238.t1
OG0000513		g1296.t1, g2691.t1, g3252.t1
OG0000514		g1314.t1, g1792.t1, g2689.t1
OG0000515		g1315.t1, g1842.t1, g2687.t1
OG0000516		g1318.t1, g1847.t1, g2684.t1
OG0000517		g1319.t1, g1849.t1, g2683.t1
OG0000518		g1320.t1, g1851.t1, g2681.t1
OG0000519		g1321.t1, g1793.t1, g2680.t1
OG0000520		g1405.t1, g2122.t1, g2593.t1
OG0000521		g1424.t1, g2648.t1, g2922.t1
OG0000522		g1428.t1, g2650.t1, g2921.t1
OG0000523		g1431.t1, g1670.t1, g2925.t1
OG0000524		g1432.t1, g1669.t1, g2928.t1
OG0000525		g1446.t1, g1877.t1, g2694.t1
OG0000526		g1493.t1, g2272.t1, g2602.t1
OG0000527		g1496.t1, g1996.t1, g3049.t1
OG0000528		g1505.t1, g3034.t1, g3540.t1
OG0000529		g1506.t1, g3035.t1, g3539.t1
OG0000530		g1582.t1, g1630.t1, g3389.t1
OG0000531		g1583.t1, g1629.t1, g3388.t1
OG0000532		g1635.t1, g1915.t1, g2299.t1
OG0000533		g1711.t1, g1980.t1, g2792.t1
OG0000534		g1772.t1, g2657.t1, g2658.t1
OG0000535		g2044.t1, g2313.t1, g3105.t1
OG0000536		g2047.t1, g3638.t1, g3803.t1
OG0000537		g2096.t1, g3569.t1, g3984.t1
OG0000538		g2155.t1, g2601.t1, g3005.t1
OG0000539		g2217.t1, g2556.t1, g3080.t1
OG0000540		g2286.t1, g2778.t1, g4052.t1
OG0000541		g2343.t1, g3243.t1, g3515.t1
OG0000542		g2561.t1, g3434.t1, g4080.t1
OG0000543		g2583.t1, g2955.t1, g3994.t1
OG0000544		g2738.t1, g2753.t1, g3631.t1
OG0000545		g2775.t1, g3076.t1, g3691.t1
OG0000546		g2864.t1, g3109.t1, g3428.t1
OG0000547		g2917.t1, g2965.t1, g4070.t1
OG0000548		g2946.t1, g3432.t1, g3784.t1
OG0000549		g2947.t1, g3430.t1, g3783.t1
OG0000550		g2948.t1, g3431.t1, g3782.t1
OG0000551		g3360.t1, g4004.t1, g4023.t1
OG0000552		g3409.t1, g3535.t1, g3761.t1
OG0000553		g3470.t1, g3471.t1, g3481.t1
OG0000554	g1.t1	g3596.t1
OG0000555	g2.t1	g3595.t1
OG0000556	g5.t1	g3593.t1
OG0000557	g13.t1	g3235.t1
OG0000558	g2055.t1, g29.t1	
OG0000559	g3051.t1, g35.t1	
OG0000560	g37.t1	g2877.t1
OG0000561	g40.t1	g606.t1
OG0000562	g41.t1	g1440.t1
OG0000563	g3437.t1, g46.t1	
OG0000564	g51.t1	g4084.t1
OG0000565	g53.t1	g4085.t1
OG0000566	g54.t1	g4086.t1
OG0000567	g55.t1	g3951.t1
OG0000568	g3145.t1, g62.t1	
OG0000569	g2526.t1, g70.t1	
OG0000570	g2864.t1, g72.t1	
OG0000571	g1428.t1, g76.t1	
OG0000572	g81.t1	g2641.t1
OG0000573	g83.t1	g2644.t1
OG0000574	g86.t1	g2643.t1
OG0000575	g88.t1	g732.t1
OG0000576	g90.t1	g202.t1
OG0000577	g3362.t1, g96.t1	
OG0000578	g108.t1	g3287.t1
OG0000579	g109.t1, g1555.t1	
OG0000580	g111.t1	g290.t1
OG0000581	g112.t1	g244.t1
OG0000582	g117.t1, g1800.t1	
OG0000583	g128.t1, g1866.t1	
OG0000584	g130.t1, g154.t1	
OG0000585	g136.t1	g4100.t1
OG0000586	g156.t1	g1373.t1
OG0000587	g158.t1	g1374.t1
OG0000588	g166.t1	g3131.t1
OG0000589	g1064.t1, g177.t1	
OG0000590	g187.t1	g2025.t1
OG0000591	g190.t1	g3651.t1
OG0000592	g195.t1	g2575.t1
OG0000593	g205.t1, g580.t1	
OG0000594	g209.t1	g2890.t1
OG0000595	g231.t1, g2711.t1	
OG0000596	g232.t1	g3312.t1
OG0000597	g236.t1	g1419.t1
OG0000598	g240.t1	g1128.t1
OG0000599	g246.t1	g2231.t1
OG0000600	g1457.t1, g247.t1	
OG0000601	g1918.t1, g248.t1	
OG0000602	g251.t1, g774.t1	
OG0000603	g2006.t1, g254.t1	
OG0000604	g255.t1	g3239.t1
OG0000605	g256.t1	g3240.t1
OG0000606	g257.t1	g1882.t1
OG0000607	g258.t1	g1883.t1
OG0000608	g1668.t1, g260.t1	
OG0000609	g2362.t1, g261.t1	
OG0000610	g2299.t1, g263.t1	
OG0000611	g265.t1	g663.t1
OG0000612	g266.t1	g662.t1
OG0000613	g276.t1, g815.t1	
OG0000614	g2210.t1, g277.t1	
OG0000615	g287.t1, g2969.t1	
OG0000616	g288.t1, g2968.t1	
OG0000617	g1775.t1, g289.t1	
OG0000618	g2591.t1, g293.t1	
OG0000619	g1498.t1, g294.t1	
OG0000620	g305.t1, g3221.t1	
OG0000621	g2859.t1, g309.t1	
OG0000622	g2237.t1, g311.t1	
OG0000623	g1711.t1, g319.t1	
OG0000624	g320.t1	g1982.t1
OG0000625	g321.t1	g1944.t1
OG0000626	g332.t1	g1956.t1
OG0000627	g334.t1	g2174.t1
OG0000628	g339.t1, g340.t1	
OG0000629	g342.t1, g368.t1	
OG0000630	g344.t1, g820.t1	
OG0000631	g348.t1	g2499.t1
OG0000632	g354.t1	g4060.t1
OG0000633	g1221.t1, g359.t1	
OG0000634	g360.t1	g2852.t1
OG0000635	g2394.t1, g365.t1	
OG0000636	g2395.t1, g367.t1	
OG0000637	g369.t1, g373.t1	
OG0000638	g378.t1	g3491.t1
OG0000639	g385.t1	g1762.t1
OG0000640	g403.t1	g2181.t1
OG0000641	g409.t1	g3876.t1
OG0000642	g411.t1	g3874.t1
OG0000643	g412.t1	g3873.t1
OG0000644	g413.t1	g2726.t1
OG0000645	g417.t1	g2004.t1
OG0000646	g418.t1	g3877.t1
OG0000647	g422.t1	g1209.t1
OG0000648	g424.t1	g3173.t1
OG0000649	g428.t1	g541.t1
OG0000650	g2085.t1, g430.t1	
OG0000651	g433.t1	g781.t1
OG0000652	g451.t1, g663.t1	
OG0000653	g453.t1	g3439.t1
OG0000654	g457.t1	g150.t1
OG0000655	g1521.t1, g459.t1	
OG0000656	g1114.t1, g460.t1	
OG0000657	g1976.t1, g461.t1	
OG0000658	g462.t1	g3893.t1
OG0000659	g475.t1	g589.t1
OG0000660	g477.t1	g3860.t1
OG0000661	g479.t1	g1406.t1
OG0000662	g484.t1	g707.t1
OG0000663	g485.t1	g367.t1
OG0000664	g486.t1	g366.t1
OG0000665	g496.t1	g355.t1
OG0000666	g505.t1	g1660.t1
OG0000667	g506.t1	g3679.t1
OG0000668	g508.t1	g341.t1
OG0000669	g518.t1	g2592.t1
OG0000670	g1582.t1, g519.t1	
OG0000671	g520.t1	g197.t1
OG0000672	g529.t1	g3819.t1
OG0000673	g2996.t1, g538.t1	
OG0000674	g543.t1	g2151.t1
OG0000675	g548.t1	g2150.t1
OG0000676	g3541.t1, g549.t1	
OG0000677	g550.t1	g2153.t1
OG0000678	g553.t1	g3705.t1
OG0000679	g558.t1	g1725.t1
OG0000680	g561.t1	g403.t1
OG0000681	g562.t1	g1784.t1
OG0000682	g2271.t1, g564.t1	
OG0000683	g2559.t1, g592.t1	
OG0000684	g2558.t1, g593.t1	
OG0000685	g2949.t1, g597.t1	
OG0000686	g2947.t1, g598.t1	
OG0000687	g613.t1	g710.t1
OG0000688	g1483.t1, g619.t1	
OG0000689	g622.t1, g862.t1	
OG0000690	g623.t1	g2780.t1
OG0000691	g624.t1	g2781.t1
OG0000692	g625.t1	g2783.t1
OG0000693	g632.t1	g3864.t1
OG0000694	g633.t1	g3865.t1
OG0000695	g634.t1	g3866.t1
OG0000696	g635.t1	g3867.t1
OG0000697	g645.t1	g3868.t1
OG0000698	g646.t1	g3869.t1
OG0000699	g648.t1, g902.t1	
OG0000700	g649.t1	g3087.t1
OG0000701	g657.t1	g3870.t1
OG0000702	g658.t1	g3871.t1
OG0000703	g660.t1	g2061.t1
OG0000704	g3257.t1, g661.t1	
OG0000705	g672.t1	g3214.t1
OG0000706	g673.t1	g3213.t1
OG0000707	g688.t1	g3207.t1
OG0000708	g689.t1	g3206.t1
OG0000709	g690.t1	g3205.t1
OG0000710	g691.t1	g3204.t1
OG0000711	g692.t1	g3203.t1
OG0000712	g693.t1	g3202.t1
OG0000713	g694.t1	g3201.t1
OG0000714	g695.t1	g3200.t1
OG0000715	g696.t1	g3199.t1
OG0000716	g697.t1	g3198.t1
OG0000717	g698.t1	g3197.t1
OG0000718	g3388.t1, g701.t1	
OG0000719	g702.t1	g3196.t1
OG0000720	g703.t1	g3195.t1
OG0000721	g704.t1	g3194.t1
OG0000722	g705.t1	g3193.t1
OG0000723	g706.t1	g3192.t1
OG0000724	g707.t1	g3191.t1
OG0000725	g708.t1	g3190.t1
OG0000726	g709.t1	g3189.t1
OG0000727	g710.t1	g3188.t1
OG0000728	g711.t1	g3187.t1
OG0000729	g712.t1	g1202.t1
OG0000730	g715.t1	g2763.t1
OG0000731	g716.t1	g3407.t1
OG0000732	g720.t1	g3186.t1
OG0000733	g721.t1	g454.t1
OG0000734	g728.t1, g737.t1	
OG0000735	g2017.t1, g748.t1	
OG0000736	g1766.t1, g751.t1	
OG0000737	g760.t1	g3888.t1
OG0000738	g765.t1	g1150.t1
OG0000739	g768.t1	g2321.t1
OG0000740	g778.t1	g3044.t1
OG0000741	g2703.t1, g783.t1	
OG0000742	g789.t1	g2282.t1
OG0000743	g793.t1	g2395.t1
OG0000744	g1843.t1, g794.t1	
OG0000745	g795.t1	g2960.t1
OG0000746	g798.t1	g2205.t1
OG0000747	g799.t1	g2333.t1
OG0000748	g802.t1	g1117.t1
OG0000749	g2674.t1, g803.t1	
OG0000750	g3070.t1, g804.t1	
OG0000751	g2834.t1, g808.t1	
OG0000752	g810.t1	g3610.t1
OG0000753	g813.t1	g3157.t1
OG0000754	g1081.t1, g814.t1	
OG0000755	g1630.t1, g816.t1	
OG0000756	g2965.t1, g825.t1	
OG0000757	g829.t1	g1494.t1
OG0000758	g831.t1	g1282.t1
OG0000759	g2462.t1, g833.t1	
OG0000760	g842.t1	g2246.t1
OG0000761	g847.t1	g561.t1
OG0000762	g854.t1	g7.t1
OG0000763	g857.t1	g737.t1
OG0000764	g858.t1	g1002.t1
OG0000765	g872.t1	g910.t1
OG0000766	g3058.t1, g874.t1	
OG0000767	g884.t1	g672.t1
OG0000768	g887.t1	g3406.t1
OG0000769	g892.t1	g2209.t1
OG0000770	g894.t1	g4076.t1
OG0000771	g1535.t1, g898.t1	
OG0000772	g905.t1	g72.t1
OG0000773	g907.t1	g3413.t1
OG0000774	g908.t1	g3412.t1
OG0000775	g909.t1	g1741.t1
OG0000776	g3263.t1, g912.t1	
OG0000777	g913.t1	g2249.t1
OG0000778	g1045.t1, g915.t1	
OG0000779	g917.t1, g921.t1	
OG0000780	g919.t1	g3611.t1
OG0000781	g923.t1	g3613.t1
OG0000782	g924.t1	g3612.t1
OG0000783	g934.t1	g3927.t1
OG0000784	g938.t1	g679.t1
OG0000785	g939.t1	g680.t1
OG0000786	g943.t1	g2334.t1
OG0000787	g944.t1	g3889.t1
OG0000788	g2749.t1, g952.t1	
OG0000789	g2812.t1, g953.t1	
OG0000790	g959.t1	g791.t1
OG0000791	g2680.t1, g962.t1	
OG0000792	g968.t1	g1019.t1
OG0000793	g972.t1	g3177.t1
OG0000794	g973.t1	g473.t1
OG0000795	g979.t1	g2845.t1
OG0000796	g982.t1	g1086.t1
OG0000797	g991.t1	g3038.t1
OG0000798	g995.t1	g2013.t1
OG0000799	g996.t1	g1121.t1
OG0000800	g998.t1	g87.t1
OG0000801	g999.t1	g1662.t1
OG0000802	g1001.t1	g1666.t1
OG0000803	g1002.t1	g2080.t1
OG0000804	g1004.t1	g1663.t1
OG0000805	g1005.t1	g3618.t1
OG0000806	g1007.t1	g1135.t1
OG0000807	g1008.t1	g2744.t1
OG0000808	g1009.t1, g1219.t1	
OG0000809	g1010.t1	g2742.t1
OG0000810	g1014.t1	g653.t1
OG0000811	g1015.t1	g654.t1
OG0000812	g1017.t1	g657.t1
OG0000813	g1018.t1	g656.t1
OG0000814	g1019.t1	g655.t1
OG0000815	g1022.t1, g3342.t1	
OG0000816	g1030.t1, g1136.t1	
OG0000817	g1031.t1, g1135.t1	
OG0000818	g1047.t1	g291.t1
OG0000819	g1060.t1	g3717.t1
OG0000820	g1065.t1	g3829.t1
OG0000821	g1071.t1	g2833.t1
OG0000822	g1072.t1, g1074.t1	
OG0000823	g1083.t1	g2911.t1
OG0000824	g1085.t1	g1364.t1
OG0000825	g1086.t1	g3814.t1
OG0000826	g1088.t1	g1266.t1
OG0000827	g1089.t1, g1487.t1	
OG0000828	g1092.t1	g870.t1
OG0000829	g1093.t1	g392.t1
OG0000830	g1094.t1	g2342.t1
OG0000831	g1098.t1	g1667.t1
OG0000832	g1115.t1	g339.t1
OG0000833	g1116.t1	g338.t1
OG0000834	g1117.t1, g1421.t1	
OG0000835	g1118.t1	g3700.t1
OG0000836	g1123.t1, g2406.t1	
OG0000837	g1125.t1, g1126.t1	
OG0000838	g1137.t1	g1140.t1
OG0000839	g1143.t1, g1850.t1	
OG0000840	g1146.t1, g2153.t1	
OG0000841	g1147.t1, g3062.t1	
OG0000842	g1148.t1	g1208.t1
OG0000843	g1153.t1	g3737.t1
OG0000844	g1164.t1	g2995.t1
OG0000845	g1166.t1, g1982.t1	
OG0000846	g1167.t1	g2243.t1
OG0000847	g1168.t1, g1999.t1	
OG0000848	g1175.t1, g2215.t1	
OG0000849	g1180.t1, g3271.t1	
OG0000850	g1189.t1	g3370.t1
OG0000851	g1199.t1	g3403.t1
OG0000852	g1202.t1	g3299.t1
OG0000853	g1215.t1, g3237.t1	
OG0000854	g1217.t1, g2310.t1	
OG0000855	g1224.t1	g3935.t1
OG0000856	g1226.t1	g3933.t1
OG0000857	g1228.t1	g3689.t1
OG0000858	g1229.t1	g3133.t1
OG0000859	g1234.t1, g3035.t1	
OG0000860	g1236.t1	g677.t1
OG0000861	g1240.t1, g3432.t1	
OG0000862	g1241.t1	g3055.t1
OG0000863	g1257.t1, g1793.t1	
OG0000864	g1264.t1	g2229.t1
OG0000865	g1270.t1	g1631.t1
OG0000866	g1273.t1	g2725.t1
OG0000867	g1274.t1	g2724.t1
OG0000868	g1275.t1	g4061.t1
OG0000869	g1276.t1	g3914.t1
OG0000870	g1280.t1	g1788.t1
OG0000871	g1281.t1	g2203.t1
OG0000872	g1285.t1	g3662.t1
OG0000873	g1286.t1	g3825.t1
OG0000874	g1287.t1	g1659.t1
OG0000875	g1289.t1	g3169.t1
OG0000876	g1290.t1	g3663.t1
OG0000877	g1292.t1	g3627.t1
OG0000878	g1294.t1	g3625.t1
OG0000879	g1296.t1	g3623.t1
OG0000880	g1297.t1	g3622.t1
OG0000881	g1298.t1	g3621.t1
OG0000882	g1299.t1	g3620.t1
OG0000883	g1302.t1	g1914.t1
OG0000884	g1303.t1	g3081.t1
OG0000885	g1304.t1	g1548.t1
OG0000886	g1305.t1	g1985.t1
OG0000887	g1313.t1	g2805.t1
OG0000888	g1314.t1	g470.t1
OG0000889	g1316.t1	g3301.t1
OG0000890	g1321.t1	g882.t1
OG0000891	g1328.t1	g3859.t1
OG0000892	g1330.t1	g3492.t1
