Orthogroup	Pseudomonas_aeruginosa	Salmonella_enterica
OG0000189		g1902.t1, g1909.t1, g1910.t1, g1918.t1, g2291.t1, g2301.t1
OG0000190		g2459.t1, g2550.t1, g2551.t1, g2567.t1, g3601.t1, g3602.t1
OG0000191	g3332.t1, g4433.t1, g5.t1	g2795.t1, g2950.t1
OG0000192	g108.t1, g1668.t1, g2603.t1, g29.t1	g1664.t1
OG0000193	g2500.t1, g41.t1, g4625.t1, g4711.t1, g699.t1	
OG0000194	g1229.t1, g2119.t1, g3529.t1, g54.t1	g631.t1
OG0000195	g3045.t1, g3047.t1, g77.t1	g1136.t1, g1138.t1
OG0000196	g121.t1, g1390.t1, g1627.t1, g2756.t1	g4094.t1
OG0000197	g125.t1, g1647.t1, g4860.t1, g5458.t1	g147.t1
OG0000198	g139.t1, g146.t1, g1537.t1, g3232.t1, g5202.t1	
OG0000199	g140.t1, g1980.t1	g2047.t1, g3638.t1, g3803.t1
OG0000200	g1474.t1, g176.t1, g3775.t1, g421.t1	g1796.t1
OG0000201	g178.t1, g3414.t1, g3778.t1, g419.t1	g1797.t1
OG0000202	g202.t1, g3042.t1, g700.t1, g984.t1	g686.t1
OG0000203	g203.t1, g3041.t1, g701.t1, g985.t1	g2936.t1
OG0000204	g206.t1, g4245.t1, g4424.t1, g4568.t1, g712.t1	
OG0000205	g213.t1	g3124.t1, g577.t1, g61.t1, g704.t1
OG0000206	g1021.t1, g1269.t1, g227.t1, g4270.t1	g2323.t1
OG0000207	g1882.t1, g2199.t1, g2234.t1, g254.t1, g3296.t1	
OG0000208	g278.t1, g4794.t1, g534.t1, g658.t1	g3232.t1
OG0000209	g1583.t1, g2073.t1, g299.t1, g301.t1, g3422.t1	
OG0000210	g1752.t1, g1765.t1, g300.t1, g539.t1	g2273.t1
OG0000211	g317.t1, g5171.t1	g1524.t1, g1526.t1, g1824.t1
OG0000212	g1152.t1, g360.t1, g4253.t1, g4418.t1	g3044.t1
OG0000213	g3168.t1, g407.t1, g5120.t1	g2938.t1, g3829.t1
OG0000214	g2053.t1, g432.t1, g4685.t1	g3162.t1, g442.t1
OG0000215	g447.t1, g5130.t1	g2044.t1, g2313.t1, g3105.t1
OG0000216	g2736.t1, g3813.t1, g455.t1, g5473.t1	g1622.t1
OG0000217	g2768.t1, g3431.t1, g4627.t1, g466.t1	g2480.t1
OG0000218	g1032.t1, g4049.t1, g481.t1, g4924.t1, g5302.t1	
OG0000219	g1521.t1, g2022.t1, g3945.t1, g518.t1	g737.t1
OG0000220	g1570.t1, g1574.t1, g1884.t1, g4215.t1, g531.t1	
OG0000221	g538.t1, g909.t1	g1210.t1, g2994.t1, g3234.t1
OG0000222	g3568.t1, g4999.t1, g5513.t1, g553.t1	g874.t1
OG0000223	g2101.t1, g570.t1, g822.t1	g2619.t1, g3608.t1
OG0000224	g649.t1	g2417.t1, g865.t1, g977.t1, g978.t1
OG0000225	g1324.t1, g3359.t1, g662.t1	g1124.t1, g2944.t1
OG0000226	g2715.t1, g3159.t1, g3160.t1, g683.t1, g686.t1	
OG0000227	g2718.t1, g3163.t1, g4612.t1, g694.t1	g138.t1
OG0000228	g2029.t1, g3946.t1, g4258.t1, g706.t1	g3657.t1
OG0000229	g3781.t1, g4425.t1, g5472.t1, g711.t1	g640.t1
OG0000230	g3595.t1, g5207.t1, g718.t1, g894.t1	g1333.t1
OG0000231	g4531.t1, g778.t1	g204.t1, g3122.t1, g3123.t1
OG0000232	g1273.t1, g2983.t1, g5253.t1, g904.t1	g2195.t1
OG0000233	g3191.t1, g983.t1, g999.t1	g422.t1, g685.t1
OG0000234	g1968.t1, g993.t1, g995.t1	g3513.t1, g517.t1
OG0000235	g1009.t1, g1010.t1, g3352.t1, g3399.t1	g1112.t1
OG0000236	g1030.t1, g3366.t1, g4093.t1, g4880.t1	g2898.t1
OG0000237	g1066.t1	g2326.t1, g2749.t1, g3022.t1, g490.t1
OG0000238	g1086.t1, g3912.t1, g4955.t1, g5004.t1	g3323.t1
OG0000239	g1153.t1, g1446.t1, g1928.t1, g3547.t1	g1822.t1
OG0000240	g1186.t1, g4070.t1, g4079.t1, g4529.t1	g2625.t1
OG0000241	g1251.t1, g2893.t1, g3198.t1, g5258.t1	g2614.t1
OG0000242	g1263.t1, g3471.t1, g4226.t1, g5068.t1	g2963.t1
OG0000243	g1293.t1, g2569.t1, g3227.t1, g4532.t1	g1937.t1
OG0000244	g1327.t1, g1589.t1, g3464.t1, g5484.t1	g2059.t1
OG0000245	g1371.t1, g1376.t1, g2764.t1, g4730.t1	g3991.t1
OG0000246	g1412.t1, g2009.t1, g2025.t1, g3336.t1, g4816.t1	
OG0000247	g1451.t1, g2564.t1, g2565.t1	g1988.t1, g1989.t1
OG0000248	g1459.t1, g1717.t1	g1318.t1, g1847.t1, g2684.t1
OG0000249	g1469.t1, g1477.t1, g3307.t1, g5123.t1	g1698.t1
OG0000250	g1567.t1, g1571.t1, g1757.t1, g2296.t1, g2519.t1	
OG0000251	g1700.t1, g2221.t1, g3585.t1	g2227.t1, g2465.t1
OG0000252	g1773.t1, g3001.t1	g1251.t1, g2488.t1, g696.t1
OG0000253	g1782.t1, g1783.t1, g3488.t1, g3998.t1	g3279.t1
OG0000254	g1833.t1, g2095.t1, g3442.t1	g2075.t1, g783.t1
OG0000255	g1845.t1	g2388.t1, g3997.t1, g4026.t1, g651.t1
OG0000256	g1929.t1, g1930.t1, g3398.t1, g4292.t1, g4293.t1	
OG0000257	g1970.t1, g5398.t1	g1003.t1, g3658.t1, g3688.t1
OG0000258	g1972.t1, g2187.t1, g4318.t1, g4699.t1	g1225.t1
OG0000259	g1981.t1	g2046.t1, g3639.t1, g3804.t1, g3805.t1
OG0000260	g2098.t1, g2099.t1, g3840.t1	g163.t1, g2949.t1
OG0000261	g2192.t1, g2235.t1	g1834.t1, g3423.t1, g370.t1
OG0000262	g2206.t1, g2794.t1, g2801.t1, g3470.t1, g3805.t1	
OG0000263	g2257.t1, g4207.t1	g1030.t1, g2121.t1, g2135.t1
OG0000264	g2291.t1, g2571.t1, g3713.t1	g5.t1, g936.t1
OG0000265	g2382.t1	g1403.t1, g2867.t1, g2914.t1, g3445.t1
OG0000266	g2548.t1, g2556.t1, g4149.t1, g4173.t1	g2290.t1
OG0000267	g2666.t1, g2826.t1, g3540.t1, g3827.t1	g1153.t1
OG0000268	g2757.t1, g3605.t1, g4905.t1	g1466.t1, g3766.t1
OG0000269	g2912.t1	g1134.t1, g1277.t1, g1879.t1, g772.t1
OG0000270	g3152.t1, g4907.t1, g5081.t1, g5500.t1	g2995.t1
OG0000271	g3212.t1, g5236.t1, g5237.t1	g1940.t1, g1941.t1
OG0000272	g3216.t1, g3623.t1	g1951.t1, g2142.t1, g3670.t1
OG0000273	g3246.t1	g1048.t1, g1766.t1, g2400.t1, g2401.t1
OG0000274	g3327.t1, g3789.t1, g4658.t1, g5356.t1	g4089.t1
OG0000275	g3632.t1	g1233.t1, g2002.t1, g2063.t1, g3029.t1
OG0000276	g3731.t1, g4805.t1, g4812.t1, g5070.t1	g2243.t1
OG0000277	g4063.t1	g1531.t1, g2042.t1, g2998.t1, g95.t1
OG0000278	g4249.t1	g1336.t1, g1563.t1, g245.t1, g2942.t1
OG0000279	g4310.t1	g1254.t1, g2149.t1, g554.t1, g69.t1
OG0000280	g5220.t1	g1288.t1, g2394.t1, g3735.t1, g3886.t1
OG0000281		g111.t1, g13.t1, g29.t1, g564.t1, g592.t1
OG0000282		g1194.t1, g2902.t1, g35.t1, g3561.t1, g3701.t1
OG0000283		g1481.t1, g1560.t1, g2772.t1, g2793.t1, g78.t1
OG0000284		g1057.t1, g1389.t1, g3578.t1, g4010.t1, g568.t1
OG0000285		g1390.t1, g2358.t1, g4009.t1, g571.t1, g901.t1
OG0000286		g2469.t1, g3017.t1, g3843.t1, g778.t1, g906.t1
OG0000287		g1400.t1, g1435.t1, g1462.t1, g2866.t1, g3467.t1
OG0000288		g2759.t1, g2808.t1, g3015.t1, g3019.t1, g3387.t1
OG0000289	g1973.t1, g2112.t1, g2113.t1, g7.t1	
OG0000290	g11.t1, g3305.t1	g1075.t1, g2242.t1
OG0000291	g30.t1, g3299.t1, g5480.t1, g5490.t1	
OG0000292	g1132.t1, g1712.t1, g2373.t1, g31.t1	
OG0000293	g1691.t1, g2401.t1, g82.t1	g271.t1
OG0000294	g1690.t1, g2402.t1, g83.t1	g269.t1
OG0000295	g1689.t1, g2403.t1, g84.t1	g268.t1
OG0000296	g1677.t1, g2400.t1, g87.t1	g255.t1
OG0000297	g1678.t1, g2405.t1, g88.t1	g262.t1
OG0000298	g1679.t1, g2406.t1, g89.t1	g263.t1
OG0000299	g1682.t1, g2409.t1, g93.t1	g257.t1
OG0000300	g1683.t1, g2410.t1, g94.t1	g256.t1
OG0000301	g1684.t1, g2411.t1, g95.t1	g261.t1
OG0000302	g113.t1, g1337.t1, g528.t1	g409.t1
OG0000303	g1198.t1, g124.t1	g3375.t1, g3985.t1
OG0000304	g1356.t1, g167.t1, g366.t1	g3313.t1
OG0000305	g186.t1	g2901.t1, g34.t1, g81.t1
OG0000306	g1633.t1, g195.t1, g2375.t1, g4238.t1	
OG0000307	g216.t1, g994.t1	g1037.t1, g27.t1
OG0000308	g226.t1, g5080.t1, g612.t1, g614.t1	
OG0000309	g228.t1, g3498.t1	g2706.t1, g2763.t1
OG0000310	g258.t1, g5338.t1	g2712.t1, g3713.t1
OG0000311	g1646.t1, g2537.t1, g276.t1	g1185.t1
OG0000312	g280.t1, g4719.t1	g2861.t1, g912.t1
OG0000313	g1046.t1, g1923.t1, g2424.t1, g308.t1	
OG0000314	g312.t1, g3193.t1, g3767.t1	g2377.t1
OG0000315	g2050.t1, g323.t1, g331.t1	g4012.t1
OG0000316	g2997.t1, g332.t1, g3606.t1	g2726.t1
OG0000317	g342.t1	g2268.t1, g2789.t1, g3840.t1
OG0000318	g2905.t1, g345.t1, g3527.t1, g802.t1	
OG0000319	g2006.t1, g377.t1, g378.t1	g2782.t1
OG0000320	g3141.t1, g3489.t1, g389.t1, g3999.t1	
OG0000321	g402.t1, g403.t1, g4384.t1	g2880.t1
OG0000322	g2139.t1, g406.t1, g945.t1	g2276.t1
OG0000323	g2994.t1, g3648.t1, g429.t1	g1078.t1
OG0000324	g1791.t1, g463.t1, g469.t1, g5296.t1	
OG0000325	g2147.t1, g4596.t1, g499.t1	g664.t1
OG0000326	g2146.t1, g4595.t1, g502.t1	g662.t1
OG0000327	g2145.t1, g4594.t1, g503.t1	g663.t1
OG0000328	g516.t1, g523.t1, g524.t1, g526.t1	
OG0000329	g1801.t1, g2652.t1, g517.t1	g3242.t1
OG0000330	g519.t1, g520.t1, g521.t1, g522.t1	
OG0000331	g2268.t1, g4969.t1, g536.t1	g3786.t1
OG0000332	g556.t1	g2184.t1, g2309.t1, g2860.t1
OG0000333	g3061.t1, g3257.t1, g559.t1	g2854.t1
OG0000334	g563.t1	g2852.t1, g3028.t1, g3537.t1
OG0000335	g1050.t1, g571.t1, g665.t1	g3010.t1
OG0000336	g5261.t1, g607.t1	g1953.t1, g1956.t1
OG0000337	g644.t1	g2422.t1, g858.t1, g970.t1
OG0000338	g645.t1	g2421.t1, g859.t1, g971.t1
OG0000339	g646.t1	g2420.t1, g861.t1, g974.t1
OG0000340	g647.t1	g2419.t1, g862.t1, g975.t1
OG0000341	g648.t1	g2418.t1, g863.t1, g976.t1
OG0000342	g4161.t1, g4626.t1, g4712.t1, g697.t1	
OG0000343	g3927.t1, g714.t1	g1971.t1, g438.t1
OG0000344	g1429.t1, g4285.t1, g716.t1	g1418.t1
OG0000345	g1799.t1, g3351.t1, g774.t1	g2463.t1
OG0000346	g1995.t1, g3286.t1, g797.t1	g1533.t1
OG0000347	g1911.t1, g3330.t1, g798.t1	g4035.t1
OG0000348	g3754.t1, g4966.t1, g808.t1	g337.t1
OG0000349	g1524.t1, g1681.t1, g3981.t1, g836.t1	
OG0000350	g2973.t1, g844.t1	g3495.t1, g930.t1
OG0000351	g1305.t1, g2884.t1, g850.t1	g1245.t1
OG0000352	g3519.t1, g3600.t1, g860.t1	g371.t1
OG0000353	g1504.t1, g2657.t1, g861.t1	g893.t1
OG0000354	g4555.t1, g866.t1	g1364.t1, g4024.t1
OG0000355	g897.t1	g2899.t1, g58.t1, g580.t1
OG0000356	g2982.t1, g5252.t1, g903.t1	g2196.t1
OG0000357	g918.t1	g1.t1, g3830.t1, g3926.t1
OG0000358	g3204.t1, g3205.t1, g997.t1	g2569.t1
OG0000359	g1026.t1, g2043.t1, g3236.t1, g4239.t1	
OG0000360	g1029.t1, g5072.t1	g1006.t1, g2474.t1
OG0000361	g1063.t1, g1935.t1, g4298.t1	g1344.t1
OG0000362	g1069.t1, g2688.t1	g2162.t1, g2645.t1
OG0000363	g1085.t1, g4956.t1, g5003.t1	g3322.t1
OG0000364	g1087.t1, g4954.t1, g5005.t1	g3324.t1
OG0000365	g1088.t1, g4953.t1, g5006.t1	g3325.t1
OG0000366	g1089.t1, g5007.t1	g3326.t1, g3328.t1
OG0000367	g1146.t1, g2058.t1, g2584.t1, g3456.t1	
OG0000368	g1181.t1, g1617.t1, g2208.t1	g3702.t1
OG0000369	g1189.t1, g1802.t1, g5279.t1	g2108.t1
OG0000370	g1220.t1, g2457.t1, g3303.t1	g887.t1
OG0000371	g1222.t1	g3223.t1, g458.t1, g83.t1
OG0000372	g1223.t1, g1554.t1, g2132.t1, g5495.t1	
OG0000373	g1267.t1	g2865.t1, g3427.t1, g493.t1
OG0000374	g1303.t1, g2126.t1, g2630.t1	g2403.t1
OG0000375	g1306.t1, g1787.t1, g4675.t1	g2233.t1
OG0000376	g1349.t1	g1711.t1, g1980.t1, g4099.t1
OG0000377	g1375.t1, g2340.t1, g3652.t1	g461.t1
OG0000378	g1389.t1, g3024.t1, g5272.t1	g1116.t1
OG0000379	g1400.t1, g3207.t1, g4147.t1	g711.t1
OG0000380	g1495.t1	g2098.t1, g3571.t1, g3983.t1
OG0000381	g1506.t1, g3655.t1	g2768.t1, g3286.t1
OG0000382	g1514.t1, g4411.t1	g1280.t1, g1767.t1
OG0000383	g1535.t1, g4809.t1	g3607.t1, g3971.t1
OG0000384	g1568.t1, g1572.t1, g1883.t1, g4216.t1	
OG0000385	g1603.t1, g2337.t1	g4040.t1, g675.t1
OG0000386	g1606.t1, g2288.t1, g3483.t1	g678.t1
OG0000387	g1607.t1, g2289.t1, g4923.t1	g150.t1
OG0000388	g1613.t1, g1614.t1, g5347.t1	g3692.t1
OG0000389	g1660.t1, g3304.t1, g3405.t1	g1640.t1
OG0000390	g1705.t1	g3436.t1, g4082.t1, g97.t1
OG0000391	g1710.t1, g2900.t1, g4865.t1	g161.t1
OG0000392	g1775.t1, g4482.t1	g2402.t1, g402.t1
OG0000393	g1817.t1, g3290.t1	g3237.t1, g501.t1
OG0000394	g1830.t1, g4017.t1, g5450.t1	g419.t1
OG0000395	g1836.t1, g1837.t1, g2092.t1	g2072.t1
OG0000396	g1864.t1, g2964.t1, g4211.t1	g2737.t1
OG0000397	g1948.t1, g2816.t1, g3493.t1, g5416.t1	
OG0000398	g1950.t1	g3844.t1, g779.t1, g904.t1
OG0000399	g1971.t1, g4854.t1	g2501.t1, g3510.t1
OG0000400	g1979.t1	g2048.t1, g3582.t1, g3640.t1
OG0000401	g2005.t1, g3376.t1	g3396.t1, g3996.t1
OG0000402	g2040.t1, g2510.t1, g3918.t1	g2034.t1
OG0000403	g2049.t1, g3388.t1, g3761.t1	g3178.t1
OG0000404	g2056.t1, g3611.t1, g3630.t1	g1944.t1
OG0000405	g2076.t1, g3309.t1	g2754.t1, g92.t1
OG0000406	g2121.t1, g2992.t1	g310.t1, g647.t1
OG0000407	g2133.t1, g5486.t1	g3760.t1, g456.t1
OG0000408	g2140.t1, g3217.t1, g3889.t1	g3458.t1
OG0000409	g2155.t1, g2198.t1, g2230.t1	g573.t1
OG0000410	g2172.t1, g3732.t1, g3963.t1	g3972.t1
OG0000411	g2179.t1, g3690.t1	g1409.t1, g2624.t1
OG0000412	g2186.t1, g2232.t1	g1408.t1, g1615.t1
OG0000413	g2188.t1, g2597.t1, g4722.t1	g3521.t1
OG0000414	g2271.t1, g3622.t1	g1948.t1, g1966.t1
OG0000415	g2302.t1, g3973.t1, g4713.t1	g3407.t1
OG0000416	g2311.t1, g4503.t1	g118.t1, g1718.t1
OG0000417	g2314.t1, g4176.t1, g4235.t1	g3036.t1
OG0000418	g2317.t1	g3130.t1, g699.t1, g771.t1
OG0000419	g2341.t1, g2450.t1, g2464.t1, g4311.t1	
OG0000420	g2345.t1, g2974.t1, g4228.t1	g2468.t1
OG0000421	g2359.t1	g2188.t1, g3305.t1, g3455.t1
OG0000422	g2379.t1, g3251.t1	g3318.t1, g3934.t1
OG0000423	g2380.t1, g3250.t1	g3317.t1, g3933.t1
OG0000424	g2389.t1, g4008.t1	g241.t1, g476.t1
OG0000425	g2393.t1, g4523.t1, g4624.t1	g3120.t1
OG0000426	g2421.t1, g4862.t1	g1512.t1, g3453.t1
OG0000427	g2423.t1, g4855.t1	g3946.t1, g644.t1
OG0000428	g2429.t1, g4143.t1, g4679.t1	g880.t1
OG0000429	g2437.t1, g4250.t1, g4303.t1	g1123.t1
OG0000430	g2448.t1	g1772.t1, g2657.t1, g2658.t1
OG0000431	g2486.t1, g4888.t1, g5314.t1	g2838.t1
OG0000432	g2497.t1, g2727.t1	g277.t1, g278.t1
OG0000433	g2515.t1, g4939.t1	g1036.t1, g4021.t1
OG0000434	g2539.t1	g1521.t1, g2093.t1, g735.t1
OG0000435	g2551.t1, g2553.t1, g3054.t1	g1954.t1
OG0000436	g2567.t1, g4557.t1, g4559.t1	g3141.t1
OG0000437	g2583.t1, g4254.t1, g5434.t1	g1209.t1
OG0000438	g2628.t1, g3394.t1, g4299.t1	g2033.t1
OG0000439	g2744.t1, g3535.t1, g4709.t1	g551.t1
OG0000440	g2749.t1, g2765.t1, g4259.t1	g1469.t1
OG0000441	g2796.t1, g3729.t1, g4583.t1	g210.t1
OG0000442	g2846.t1, g5306.t1, g5492.t1	g3849.t1
OG0000443	g2957.t1, g3786.t1, g4159.t1	g2117.t1
OG0000444	g2971.t1, g4123.t1, g4798.t1	g201.t1
OG0000445	g3085.t1, g3656.t1, g5086.t1	g3289.t1
OG0000446	g3421.t1, g4981.t1, g5413.t1	g902.t1
OG0000447	g3463.t1, g4413.t1, g4701.t1	g3813.t1
OG0000448	g3499.t1, g4091.t1	g2040.t1, g3975.t1
OG0000449	g3602.t1, g4317.t1, g4974.t1	g3209.t1
OG0000450	g3653.t1, g4112.t1	g1901.t1, g3816.t1
OG0000451	g3772.t1	g2824.t1, g4041.t1, g933.t1
OG0000452	g3851.t1	g2946.t1, g3432.t1, g3784.t1
OG0000453	g3852.t1	g2947.t1, g3430.t1, g3783.t1
OG0000454	g3990.t1	g1496.t1, g1996.t1, g3049.t1
OG0000455	g4010.t1, g5393.t1, g5477.t1	g72.t1
OG0000456	g4077.t1	g1926.t1, g595.t1, g797.t1
OG0000457	g4243.t1	g189.t1, g549.t1, g705.t1
OG0000458	g4283.t1, g4495.t1	g126.t1, g349.t1
OG0000459	g4347.t1, g4359.t1	g3211.t1, g3863.t1
OG0000460	g4407.t1, g4787.t1, g5218.t1, g5219.t1	
OG0000461	g4450.t1, g4553.t1	g1329.t1, g3785.t1
OG0000462	g4549.t1	g3033.t1, g3096.t1, g3541.t1
OG0000463	g4590.t1	g1582.t1, g1630.t1, g3389.t1
OG0000464	g4610.t1, g4642.t1	g140.t1, g2786.t1
OG0000465	g4737.t1, g4738.t1, g4739.t1, g4742.t1	
OG0000466	g4745.t1, g5445.t1	g1934.t1, g2193.t1
OG0000467	g4748.t1	g1174.t1, g1292.t1, g2019.t1
OG0000468	g4776.t1, g5317.t1	g104.t1, g397.t1
OG0000469	g4896.t1	g2202.t1, g4042.t1, g903.t1
OG0000470	g5015.t1, g5208.t1	g3402.t1, g528.t1
OG0000471	g5125.t1, g5319.t1	g1380.t1, g306.t1
OG0000472	g5332.t1	g3347.t1, g750.t1, g751.t1
OG0000473		g32.t1, g3834.t1, g4095.t1, g460.t1
OG0000474		g3126.t1, g53.t1, g701.t1, g702.t1
OG0000475		g105.t1, g2565.t1, g3616.t1, g424.t1
OG0000476		g1510.t1, g159.t1, g2709.t1, g4075.t1
OG0000477		g1074.t1, g1438.t1, g2215.t1, g351.t1
OG0000478		g1326.t1, g1933.t1, g3011.t1, g480.t1
OG0000479		g1348.t1, g2390.t1, g3353.t1, g660.t1
OG0000480		g1363.t1, g3128.t1, g4003.t1, g697.t1
OG0000481		g1165.t1, g1566.t1, g1633.t1, g784.t1
OG0000482		g1264.t1, g1265.t1, g3238.t1, g800.t1
OG0000483		g2090.t1, g2441.t1, g842.t1, g956.t1
OG0000484		g1749.t1, g2439.t1, g844.t1, g958.t1
OG0000485		g1081.t1, g2448.t1, g2538.t1, g950.t1
OG0000486		g1010.t1, g2661.t1, g2668.t1, g3998.t1
OG0000487		g1429.t1, g1672.t1, g2639.t1, g2924.t1
OG0000488		g1557.t1, g1651.t1, g2346.t1, g2347.t1
OG0000489		g1709.t1, g2054.t1, g2760.t1, g3016.t1
OG0000490	g10.t1, g1208.t1	g3403.t1
OG0000491	g17.t1	g1731.t1, g3175.t1
OG0000492	g1139.t1, g19.t1	g3173.t1
OG0000493	g22.t1	g2636.t1, g3169.t1
OG0000494	g40.t1, g65.t1	g1394.t1
OG0000495	g3915.t1, g46.t1	g2671.t1
OG0000496	g2908.t1, g64.t1	g1458.t1
OG0000497	g3825.t1, g71.t1	g3166.t1
OG0000498	g72.t1	g1407.t1, g3355.t1
OG0000499	g1688.t1, g85.t1	g267.t1
OG0000500	g90.t1	g265.t1, g266.t1
OG0000501	g111.t1, g1336.t1	g410.t1
OG0000502	g118.t1, g1339.t1	g407.t1
OG0000503	g120.t1, g2672.t1	g2156.t1
OG0000504	g144.t1, g4252.t1	g567.t1
OG0000505	g145.t1, g2467.t1, g3524.t1	
OG0000506	g147.t1	g49.t1, g619.t1
OG0000507	g157.t1, g158.t1, g2544.t1	
OG0000508	g168.t1, g238.t1	g381.t1
OG0000509	g193.t1	g3356.t1, g4017.t1
OG0000510	g218.t1, g3027.t1	g1113.t1
OG0000511	g224.t1, g4151.t1	g2905.t1
OG0000512	g2033.t1, g231.t1	g1261.t1
OG0000513	g234.t1, g3586.t1, g3587.t1	
OG0000514	g242.t1, g246.t1, g879.t1	
OG0000515	g243.t1, g2669.t1, g4928.t1	
OG0000516	g252.t1, g4201.t1	g1031.t1
OG0000517	g1444.t1, g253.t1	g3890.t1
OG0000518	g1528.t1, g267.t1, g5369.t1	
OG0000519	g2452.t1, g269.t1	g2591.t1
OG0000520	g271.t1, g4247.t1	g2602.t1
OG0000521	g284.t1, g3315.t1	g2278.t1
OG0000522	g1509.t1, g286.t1	g3793.t1
OG0000523	g1437.t1, g291.t1	g2862.t1
OG0000524	g1784.t1, g315.t1, g4771.t1	
OG0000525	g316.t1, g4747.t1	g1291.t1
OG0000526	g324.t1	g1410.t1, g2953.t1
OG0000527	g1425.t1, g325.t1, g3846.t1	
OG0000528	g337.t1, g4095.t1	g3043.t1
OG0000529	g1001.t1, g341.t1	g2790.t1
OG0000530	g2392.t1, g352.t1	g2129.t1
OG0000531	g358.t1	g3294.t1, g3651.t1
OG0000532	g361.t1, g5448.t1, g769.t1	
OG0000533	g1468.t1, g379.t1	g3332.t1
OG0000534	g1315.t1, g404.t1	g694.t1
OG0000535	g3608.t1, g409.t1, g5270.t1	
OG0000536	g1789.t1, g414.t1	g2876.t1
OG0000537	g424.t1, g4848.t1	g1177.t1
OG0000538	g426.t1, g5167.t1	g2875.t1
OG0000539	g438.t1, g5440.t1	g3500.t1
OG0000540	g448.t1, g4962.t1	g488.t1
OG0000541	g449.t1, g483.t1	g487.t1
OG0000542	g4374.t1, g456.t1	g3350.t1
OG0000543	g458.t1, g4668.t1	g467.t1
OG0000544	g460.t1	g1001.t1, g3233.t1
OG0000545	g468.t1, g846.t1	g3728.t1
OG0000546	g1020.t1, g491.t1	g2324.t1
OG0000547	g4941.t1, g500.t1	g3152.t1
OG0000548	g511.t1	g1383.t1, g733.t1
OG0000549	g1465.t1, g1466.t1, g544.t1	
OG0000550	g5358.t1, g546.t1	g1690.t1
OG0000551	g1517.t1, g558.t1	g484.t1
OG0000552	g4026.t1, g567.t1	g3349.t1
OG0000553	g2372.t1, g572.t1	g521.t1
OG0000554	g4819.t1, g593.t1	g178.t1
OG0000555	g3147.t1, g600.t1	g85.t1
OG0000556	g2255.t1, g603.t1	g88.t1
OG0000557	g1206.t1, g608.t1	g91.t1
OG0000558	g1781.t1, g619.t1	g1707.t1
OG0000559	g4964.t1, g622.t1	g759.t1
OG0000560	g626.t1	g2523.t1, g3912.t1
OG0000561	g628.t1	g2521.t1, g3908.t1
OG0000562	g629.t1	g2520.t1, g3907.t1
OG0000563	g631.t1	g2515.t1, g3919.t1
OG0000564	g1013.t1, g655.t1	g3235.t1
OG0000565	g1218.t1, g659.t1	g3231.t1
OG0000566	g4842.t1, g663.t1	g3069.t1
OG0000567	g1037.t1, g4284.t1, g666.t1	
OG0000568	g673.t1	g1769.t1, g4088.t1
OG0000569	g4220.t1, g674.t1	g1345.t1
OG0000570	g3712.t1, g675.t1	g226.t1
OG0000571	g695.t1, g696.t1	g3613.t1
OG0000572	g4827.t1, g4828.t1, g721.t1	
OG0000573	g3549.t1, g4086.t1, g738.t1	
OG0000574	g1056.t1, g747.t1	g3334.t1
OG0000575	g1512.t1, g752.t1	g1628.t1
OG0000576	g2250.t1, g763.t1	g2587.t1
OG0000577	g2252.t1, g765.t1	g2585.t1
OG0000578	g2795.t1, g776.t1	g2461.t1
OG0000579	g1321.t1, g780.t1	g2411.t1
OG0000580	g1829.t1, g791.t1	g418.t1
OG0000581	g795.t1	g1046.t1, g3155.t1
OG0000582	g1579.t1, g806.t1	g1599.t1
OG0000583	g4416.t1, g821.t1	g2249.t1
OG0000584	g1380.t1, g2461.t1, g831.t1	
OG0000585	g1557.t1, g3391.t1, g842.t1	
OG0000586	g847.t1	g2181.t1, g2302.t1
OG0000587	g3200.t1, g884.t1	g3953.t1
OG0000588	g4702.t1, g5265.t1, g898.t1	
OG0000589	g910.t1, g911.t1	g1211.t1
OG0000590	g2141.t1, g917.t1	g2621.t1
OG0000591	g2194.t1, g933.t1	g746.t1
OG0000592	g936.t1	g1867.t1, g293.t1
OG0000593	g946.t1	g2747.t1, g815.t1
OG0000594	g4597.t1, g949.t1	g3989.t1
OG0000595	g2802.t1, g965.t1	g3755.t1
OG0000596	g1167.t1, g3940.t1, g996.t1	
OG0000597	g3203.t1, g998.t1	g2568.t1
OG0000598	g1006.t1, g3668.t1	g1548.t1
OG0000599	g1016.t1, g5142.t1	g2328.t1
OG0000600	g1017.t1, g1581.t1	g3339.t1
OG0000601	g1048.t1, g1053.t1	g1641.t1
OG0000602	g1059.t1	g1704.t1, g756.t1
OG0000603	g1071.t1, g2690.t1	g2160.t1
OG0000604	g1083.t1, g1616.t1	g453.t1
OG0000605	g1100.t1	g1101.t1, g3422.t1
OG0000606	g1107.t1	g1830.t1, g2572.t1
OG0000607	g1141.t1, g3103.t1	g203.t1
OG0000608	g1142.t1, g1212.t1	g1140.t1
OG0000609	g1170.t1	g2125.t1, g2607.t1
OG0000610	g1171.t1, g1952.t1	g2124.t1
OG0000611	g1185.t1, g5351.t1	g2792.t1
OG0000612	g1187.t1	g2104.t1, g3580.t1
OG0000613	g1195.t1, g2697.t1	g1148.t1
OG0000614	g1205.t1, g2219.t1	g2028.t1
OG0000615	g1209.t1, g5268.t1	g1371.t1
