Orthogroup	Acinetobacter_baumannii	Salmonella_enterica
OG0001978		g2699.t1
OG0001979		g2700.t1
OG0001980		g2713.t1
OG0001981		g2717.t1
OG0001982		g2718.t1
OG0001983		g2719.t1
OG0001984		g2720.t1
OG0001985		g2721.t1
OG0001986		g2722.t1
OG0001987		g2723.t1
OG0001988		g2726.t1
OG0001989		g2727.t1
OG0001990		g2728.t1
OG0001991		g2729.t1
OG0001992		g2730.t1
OG0001993		g2731.t1
OG0001994		g2732.t1
OG0001995		g2733.t1
OG0001996		g2734.t1
OG0001997		g2739.t1
OG0001998		g2740.t1
OG0001999		g2741.t1
OG0002000		g2744.t1
OG0002001		g2745.t1
OG0002002		g2755.t1
OG0002003		g2756.t1
OG0002004		g2757.t1
OG0002005		g2758.t1
OG0002006		g2765.t1
OG0002007		g2767.t1
OG0002008		g2769.t1
OG0002009		g2770.t1
OG0002010		g2777.t1
OG0002011		g2779.t1
OG0002012		g2780.t1
OG0002013		g2782.t1
OG0002014		g2783.t1
OG0002015		g2784.t1
OG0002016		g2785.t1
OG0002017		g2787.t1
OG0002018		g2788.t1
OG0002019		g2791.t1
OG0002020		g2795.t1
OG0002021		g2801.t1
OG0002022		g2804.t1
OG0002023		g2807.t1
OG0002024		g2813.t1
OG0002025		g2817.t1
OG0002026		g2820.t1
OG0002027		g2821.t1
OG0002028		g2826.t1
OG0002029		g2830.t1
OG0002030		g2831.t1
OG0002031		g2832.t1
OG0002032		g2833.t1
OG0002033		g2834.t1
OG0002034		g2836.t1
OG0002035		g2837.t1
OG0002036		g2839.t1
OG0002037		g2843.t1
OG0002038		g2844.t1
OG0002039		g2845.t1
OG0002040		g2849.t1
OG0002041		g2855.t1
OG0002042		g2856.t1
OG0002043		g2857.t1
OG0002044		g2869.t1
OG0002045		g2870.t1
OG0002046		g2873.t1
OG0002047		g2874.t1
OG0002048		g2875.t1
OG0002049		g2877.t1
OG0002050		g2878.t1
OG0002051		g2881.t1
OG0002052		g2882.t1
OG0002053		g2883.t1
OG0002054		g2884.t1
OG0002055		g2886.t1
OG0002056		g2888.t1
OG0002057		g2889.t1
OG0002058		g2890.t1
OG0002059		g2892.t1
OG0002060		g2896.t1
OG0002061		g2898.t1
OG0002062		g2904.t1
OG0002063		g2906.t1
OG0002064		g2909.t1
OG0002065		g2911.t1
OG0002066		g2913.t1
OG0002067		g2915.t1
OG0002068		g2920.t1
OG0002069		g2923.t1
OG0002070		g2926.t1
OG0002071		g2929.t1
OG0002072		g2931.t1
OG0002073		g2932.t1
OG0002074		g2933.t1
OG0002075		g2934.t1
OG0002076		g2944.t1
OG0002077		g2950.t1
OG0002078		g2957.t1
OG0002079		g2959.t1
OG0002080		g2960.t1
OG0002081		g2961.t1
OG0002082		g2966.t1
OG0002083		g2967.t1
OG0002084		g2973.t1
OG0002085		g2974.t1
OG0002086		g2975.t1
OG0002087		g2976.t1
OG0002088		g2978.t1
OG0002089		g2979.t1
OG0002090		g2980.t1
OG0002091		g2982.t1
OG0002092		g2983.t1
OG0002093		g2984.t1
OG0002094		g2986.t1
OG0002095		g2987.t1
OG0002096		g2989.t1
OG0002097		g2990.t1
OG0002098		g2991.t1
OG0002099		g2997.t1
OG0002100		g3000.t1
OG0002101		g3003.t1
OG0002102		g3004.t1
OG0002103		g3006.t1
OG0002104		g3007.t1
OG0002105		g3008.t1
OG0002106		g3009.t1
OG0002107		g3010.t1
OG0002108		g3013.t1
OG0002109		g3014.t1
OG0002110		g3032.t1
OG0002111		g3038.t1
OG0002112		g3039.t1
OG0002113		g3040.t1
OG0002114		g3042.t1
OG0002115		g3043.t1
OG0002116		g3045.t1
OG0002117		g3046.t1
OG0002118		g3047.t1
OG0002119		g3048.t1
OG0002120		g3050.t1
OG0002121		g3051.t1
OG0002122		g3053.t1
OG0002123		g3056.t1
OG0002124		g3058.t1
OG0002125		g3059.t1
OG0002126		g3060.t1
OG0002127		g3063.t1
OG0002128		g3065.t1
OG0002129		g3068.t1
OG0002130		g3070.t1
OG0002131		g3073.t1
OG0002132		g3075.t1
OG0002133		g3078.t1
OG0002134		g3083.t1
OG0002135		g3085.t1
OG0002136		g3086.t1
OG0002137		g3088.t1
OG0002138		g3090.t1
OG0002139		g3091.t1
OG0002140		g3092.t1
OG0002141		g3094.t1
OG0002142		g3097.t1
OG0002143		g3099.t1
OG0002144		g3101.t1
OG0002145		g3103.t1
OG0002146		g3106.t1
OG0002147		g3107.t1
OG0002148		g3108.t1
OG0002149		g3115.t1
OG0002150		g3117.t1
OG0002151		g3119.t1
OG0002152		g3120.t1
OG0002153		g3121.t1
OG0002154		g3134.t1
OG0002155		g3137.t1
OG0002156		g3141.t1
OG0002157		g3142.t1
OG0002158		g3145.t1
OG0002159		g3146.t1
OG0002160		g3150.t1
OG0002161		g3151.t1
OG0002162		g3154.t1
OG0002163		g3159.t1
OG0002164		g3164.t1
OG0002165		g3167.t1
OG0002166		g3171.t1
OG0002167		g3172.t1
OG0002168		g3173.t1
OG0002169		g3177.t1
OG0002170		g3179.t1
OG0002171		g3181.t1
OG0002172		g3183.t1
OG0002173		g3184.t1
OG0002174		g3185.t1
OG0002175		g3186.t1
OG0002176		g3188.t1
OG0002177		g3192.t1
OG0002178		g3193.t1
OG0002179		g3194.t1
OG0002180		g3195.t1
OG0002181		g3196.t1
OG0002182		g3197.t1
OG0002183		g3198.t1
OG0002184		g3201.t1
OG0002185		g3202.t1
OG0002186		g3207.t1
OG0002187		g3208.t1
OG0002188		g3209.t1
OG0002189		g3210.t1
OG0002190		g3215.t1
OG0002191		g3216.t1
OG0002192		g3217.t1
OG0002193		g3218.t1
OG0002194		g3220.t1
OG0002195		g3222.t1
OG0002196		g3226.t1
OG0002197		g3227.t1
OG0002198		g3228.t1
OG0002199		g3229.t1
OG0002200		g3230.t1
OG0002201		g3231.t1
OG0002202		g3236.t1
OG0002203		g3240.t1
OG0002204		g3244.t1
OG0002205		g3249.t1
OG0002206		g3250.t1
OG0002207		g3253.t1
OG0002208		g3254.t1
OG0002209		g3255.t1
OG0002210		g3256.t1
OG0002211		g3258.t1
OG0002212		g3259.t1
OG0002213		g3260.t1
OG0002214		g3261.t1
OG0002215		g3262.t1
OG0002216		g3263.t1
OG0002217		g3264.t1
OG0002218		g3269.t1
OG0002219		g3271.t1
OG0002220		g3274.t1
OG0002221		g3277.t1
OG0002222		g3280.t1
OG0002223		g3281.t1
OG0002224		g3287.t1
OG0002225		g3290.t1
OG0002226		g3291.t1
OG0002227		g3304.t1
OG0002228		g3311.t1
OG0002229		g3312.t1
OG0002230		g3313.t1
OG0002231		g3314.t1
OG0002232		g3320.t1
OG0002233		g3321.t1
OG0002234		g3327.t1
OG0002235		g3330.t1
OG0002236		g3333.t1
OG0002237		g3334.t1
OG0002238		g3335.t1
OG0002239		g3336.t1
OG0002240		g3340.t1
OG0002241		g3341.t1
OG0002242		g3345.t1
OG0002243		g3350.t1
OG0002244		g3351.t1
OG0002245		g3354.t1
OG0002246		g3357.t1
OG0002247		g3365.t1
OG0002248		g3366.t1
OG0002249		g3369.t1
OG0002250		g3371.t1
OG0002251		g3374.t1
OG0002252		g3377.t1
OG0002253		g3378.t1
OG0002254		g3379.t1
OG0002255		g3381.t1
OG0002256		g3382.t1
OG0002257		g3383.t1
OG0002258		g3384.t1
OG0002259		g3385.t1
OG0002260		g3386.t1
OG0002261		g3394.t1
OG0002262		g3403.t1
OG0002263		g3411.t1
OG0002264		g3415.t1
OG0002265		g3416.t1
OG0002266		g3417.t1
OG0002267		g3418.t1
OG0002268		g3420.t1
OG0002269		g3429.t1
OG0002270		g3438.t1
OG0002271		g3446.t1
OG0002272		g3447.t1
OG0002273		g3448.t1
OG0002274		g3449.t1
OG0002275		g3451.t1
OG0002276		g3460.t1
OG0002277		g3464.t1
OG0002278		g3465.t1
OG0002279		g3472.t1
OG0002280		g3474.t1
OG0002281		g3475.t1
OG0002282		g3479.t1
OG0002283		g3482.t1
OG0002284		g3483.t1
OG0002285		g3485.t1
OG0002286		g3486.t1
OG0002287		g3487.t1
OG0002288		g3493.t1
OG0002289		g3498.t1
OG0002290		g3499.t1
OG0002291		g3503.t1
OG0002292		g3504.t1
OG0002293		g3506.t1
OG0002294		g3509.t1
OG0002295		g3511.t1
OG0002296		g3512.t1
OG0002297		g3514.t1
OG0002298		g3516.t1
OG0002299		g3519.t1
OG0002300		g3521.t1
OG0002301		g3522.t1
OG0002302		g3524.t1
OG0002303		g3531.t1
OG0002304		g3534.t1
OG0002305		g3543.t1
OG0002306		g3548.t1
OG0002307		g3554.t1
OG0002308		g3555.t1
OG0002309		g3556.t1
OG0002310		g3562.t1
OG0002311		g3563.t1
OG0002312		g3568.t1
OG0002313		g3577.t1
OG0002314		g3587.t1
OG0002315		g3594.t1
OG0002316		g3595.t1
OG0002317		g3598.t1
OG0002318		g3599.t1
OG0002319		g3613.t1
OG0002320		g3620.t1
OG0002321		g3622.t1
OG0002322		g3626.t1
OG0002323		g3627.t1
OG0002324		g3628.t1
OG0002325		g3629.t1
OG0002326		g3633.t1
OG0002327		g3634.t1
OG0002328		g3635.t1
OG0002329		g3636.t1
OG0002330		g3637.t1
OG0002331		g3646.t1
OG0002332		g3649.t1
OG0002333		g3653.t1
OG0002334		g3654.t1
OG0002335		g3657.t1
OG0002336		g3663.t1
OG0002337		g3665.t1
OG0002338		g3669.t1
OG0002339		g3671.t1
OG0002340		g3672.t1
OG0002341		g3673.t1
OG0002342		g3674.t1
OG0002343		g3676.t1
OG0002344		g3677.t1
OG0002345		g3678.t1
OG0002346		g3679.t1
OG0002347		g3680.t1
OG0002348		g3681.t1
OG0002349		g3682.t1
OG0002350		g3683.t1
OG0002351		g3685.t1
OG0002352		g3687.t1
OG0002353		g3690.t1
OG0002354		g3692.t1
OG0002355		g3693.t1
OG0002356		g3697.t1
OG0002357		g3700.t1
OG0002358		g3704.t1
OG0002359		g3706.t1
OG0002360		g3707.t1
OG0002361		g3709.t1
OG0002362		g3710.t1
OG0002363		g3712.t1
OG0002364		g3720.t1
OG0002365		g3721.t1
OG0002366		g3722.t1
OG0002367		g3723.t1
OG0002368		g3724.t1
OG0002369		g3725.t1
OG0002370		g3726.t1
OG0002371		g3728.t1
OG0002372		g3730.t1
OG0002373		g3731.t1
OG0002374		g3733.t1
OG0002375		g3739.t1
OG0002376		g3741.t1
OG0002377		g3742.t1
OG0002378		g3743.t1
OG0002379		g3744.t1
OG0002380		g3748.t1
OG0002381		g3749.t1
OG0002382		g3750.t1
OG0002383		g3755.t1
OG0002384		g3756.t1
OG0002385		g3757.t1
OG0002386		g3758.t1
OG0002387		g3759.t1
OG0002388		g3762.t1
OG0002389		g3767.t1
OG0002390		g3770.t1
OG0002391		g3771.t1
OG0002392		g3773.t1
OG0002393		g3775.t1
OG0002394		g3776.t1
OG0002395		g3780.t1
OG0002396		g3786.t1
OG0002397		g3787.t1
OG0002398		g3792.t1
OG0002399		g3794.t1
OG0002400		g3798.t1
OG0002401		g3799.t1
OG0002402		g3800.t1
OG0002403		g3802.t1
OG0002404		g3807.t1
OG0002405		g3808.t1
OG0002406		g3811.t1
OG0002407		g3812.t1
OG0002408		g3814.t1
OG0002409		g3817.t1
OG0002410		g3818.t1
OG0002411		g3819.t1
OG0002412		g3821.t1
OG0002413		g3822.t1
OG0002414		g3826.t1
OG0002415		g3828.t1
OG0002416		g3832.t1
OG0002417		g3837.t1
OG0002418		g3848.t1
OG0002419		g3856.t1
OG0002420		g3859.t1
OG0002421		g3860.t1
OG0002422		g3861.t1
OG0002423		g3864.t1
OG0002424		g3865.t1
OG0002425		g3868.t1
OG0002426		g3872.t1
OG0002427		g3874.t1
OG0002428		g3876.t1
OG0002429		g3877.t1
OG0002430		g3878.t1
OG0002431		g3880.t1
OG0002432		g3881.t1
OG0002433		g3882.t1
OG0002434		g3883.t1
OG0002435		g3884.t1
OG0002436		g3885.t1
OG0002437		g3891.t1
OG0002438		g3894.t1
OG0002439		g3895.t1
OG0002440		g3897.t1
OG0002441		g3898.t1
OG0002442		g3899.t1
OG0002443		g3900.t1
OG0002444		g3902.t1
OG0002445		g3903.t1
OG0002446		g3904.t1
OG0002447		g3905.t1
OG0002448		g3910.t1
OG0002449		g3914.t1
OG0002450		g3917.t1
OG0002451		g3920.t1
OG0002452		g3921.t1
OG0002453		g3922.t1
OG0002454		g3923.t1
OG0002455		g3924.t1
OG0002456		g3925.t1
OG0002457		g3927.t1
OG0002458		g3928.t1
OG0002459		g3929.t1
OG0002460		g3930.t1
OG0002461		g3931.t1
OG0002462		g3932.t1
OG0002463		g3937.t1
OG0002464		g3938.t1
OG0002465		g3939.t1
OG0002466		g3941.t1
OG0002467		g3942.t1
OG0002468		g3944.t1
OG0002469		g3945.t1
OG0002470		g3947.t1
OG0002471		g3949.t1
OG0002472		g3951.t1
OG0002473		g3954.t1
OG0002474		g3955.t1
OG0002475		g3957.t1
OG0002476		g3958.t1
OG0002477		g3961.t1
OG0002478		g3966.t1
OG0002479		g3972.t1
OG0002480		g3977.t1
OG0002481		g3979.t1
OG0002482		g3980.t1
OG0002483		g3982.t1
OG0002484		g3989.t1
OG0002485		g3990.t1
OG0002486		g3991.t1
OG0002487		g3992.t1
OG0002488		g4011.t1
OG0002489		g4012.t1
OG0002490		g4014.t1
OG0002491		g4018.t1
OG0002492		g4022.t1
OG0002493		g4025.t1
OG0002494		g4030.t1
OG0002495		g4031.t1
OG0002496		g4033.t1
OG0002497		g4036.t1
OG0002498		g4037.t1
OG0002499		g4038.t1
OG0002500		g4043.t1
OG0002501		g4045.t1
OG0002502		g4046.t1
OG0002503		g4047.t1
OG0002504		g4049.t1
OG0002505		g4050.t1
OG0002506		g4051.t1
OG0002507		g4053.t1
OG0002508		g4054.t1
OG0002509		g4059.t1
OG0002510		g4064.t1
OG0002511		g4065.t1
OG0002512		g4066.t1
OG0002513		g4067.t1
OG0002514		g4068.t1
OG0002515		g4073.t1
OG0002516		g4074.t1
OG0002517		g4076.t1
OG0002518		g4084.t1
OG0002519		g4085.t1
OG0002520		g4091.t1
OG0002521		g4092.t1
OG0002522		g4093.t1
OG0002523		g4094.t1
OG0002524		g4097.t1
OG0002525		g4098.t1
OG0002526		g4100.t1
OG0002527		g4101.t1
OG0002528		g4103.t1
OG0002529		g4105.t1
OG0002530		g4109.t1
OG0002531		g4111.t1
OG0002532		g4115.t1
